string_1,string_2
4,4
9,9
1,1
2,2
6,6
7,7
4,4
4,4
4,4
2,2
99,99
57,57
76,76
59,59
75,75
58,58
24,24
67,67
40,40
11,11
137,137
832,832
615,615
013,013
810,810
467,467
186,186
044,044
946,946
934,934
8113,8113
1835,1835
6931,6931
2603,2603
8798,8798
2045,2045
2426,2426
1002,1002
9077,9077
5344,5344
99649,99649
05120,05120
75816,75816
94690,94690
76964,76964
66328,66328
12032,12032
60727,60727
87855,87855
77417,77417
299614,299614
809545,809545
525833,525833
146278,146278
190937,190937
130087,130087
041111,041111
154384,154384
752130,752130
764544,764544
7075930,7075930
8561578,8561578
3721580,3721580
6286896,6286896
0894335,0894335
9655193,9655193
7149135,7149135
8636764,8636764
8710562,8710562
6968574,6968574
81181082,81181082
57733652,57733652
39148203,39148203
39509548,39509548
09050757,09050757
20005164,20005164
03719066,03719066
18807651,18807651
84591833,84591833
67940058,67940058
262888972,262888972
372958080,372958080
151911585,151911585
357661463,357661463
005115768,005115768
899802021,899802021
189278315,189278315
225257109,225257109
309175152,309175152
338365440,338365440
0821762451,0821762451
7645778805,7645778805
4897698783,4897698783
9015935520,9015935520
3875173147,3875173147
1153143758,1153143758
5113085048,5113085048
8347021311,8347021311
3554726434,3554726434
8432774817,8432774817
67357824100,67357824100
29223391126,29223391126
94809671151,94809671151
93118499852,93118499852
50761467850,50761467850
25116768583,25116768583
14582836620,14582836620
57806196011,57806196011
84862914536,84862914536
21536088662,21536088662
915898030630,915898030630
869836649842,869836649842
268325243610,268325243610
389191277264,389191277264
143064098126,143064098126
202420592294,202420592294
749536264616,749536264616
169231772136,169231772136
787660520404,787660520404
939019615955,939019615955
