string_1,string_2
1,2
1,6
7,4
6,7
4,7
0,3
3,3
5,4
6,0
1,5
17,45
23,25
71,33
52,62
66,24
74,24
15,53
76,27
36,50
47,07
147,556
535,724
122,533
220,751
005,711
041,140
453,440
736,444
673,704
162,567
7513,4113
4256,0251
7460,2707
1616,7361
3541,7272
2462,6563
2341,2547
5522,3721
0055,5617
4475,2170
17677,65632
74436,57454
20577,17747
50370,06100
65050,32402
61346,25706
16166,22314
45604,16433
73500,07326
05571,45710
707174,602765
176711,311555
017405,313333
272132,577053
051500,571461
270000,454145
101750,144412
105076,614656
356000,056300
503456,155057
6206705,5146574
2257027,6745202
7143254,5410526
2254071,2661164
1745412,6113056
5003301,7357073
4721444,0704710
2300265,3151725
6730147,1011355
0722150,1276733
75143101,11343475
11365602,66623263
02502117,02335555
60212414,26056761
27233043,73557407
20567012,60765023
33057274,04324764
24535572,37577557
60260250,73453065
06630235,60562152
525675670,012124610
000730576,514300275
170433400,277702045
307756363,134324505
370741712,571464343
640447312,545036321
776146754,022421532
671506372,007766033
052263222,732761005
303114175,571116320
0051062677,2400551745
5465166047,4621741435
4625222043,1102015320
5266432503,5277202313
2034273543,7644600500
4061000103,4511201105
6135027312,2307757217
3441346036,6125043353
1074755262,0667057006
5624002137,6027406400
02331443117,76106145646
35133742515,27535200141
07401421067,06277045056
64116122644,14762330773
33605432424,05043417706
33527142731,71351741043
50545364316,25744220575
53547060370,51415006713
12563122213,36750734717
76215606203,46014464111
606503173013,475537035734
724674462607,462242256771
276031066210,611721376165
256670457067,400734211507
243670320164,474370537100
141251206205,265723341002
434664547077,713572725620
012522016144,141471676071
500321750334,164533112137
631763500014,532121526715
