algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,0.0,0.0,4e-05,1
branch_and_bound_len,1,0.0,0.0,1.0300000000000088e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.4099999999999963e-05,2
dinamic_programming,1,0.0,0.0,2.630000000000015e-05,1
branch_and_bound_len,1,0.0,0.0,8.900000000000054e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2599999999999764e-05,2
dinamic_programming,1,0.0,0.0,2.1599999999999658e-05,1
branch_and_bound_len,1,0.0,0.0,7.399999999999855e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1399999999999952e-05,2
dinamic_programming,1,0.0,0.0,2.0700000000000232e-05,1
branch_and_bound_len,1,0.0,0.0,7.100000000000335e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1200000000000272e-05,2
dinamic_programming,1,0.0,0.0,2.059999999999996e-05,1
branch_and_bound_len,1,0.0,0.0,7.099999999999468e-06,2
branch_and_bound_cnt,1,0.0,0.0,4.079999999999969e-05,2
dinamic_programming,1,0.0,0.0,2.1199999999999865e-05,1
branch_and_bound_len,1,0.0,0.0,8.599999999999233e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1399999999999952e-05,2
dinamic_programming,1,0.0,0.0,2.0799999999999638e-05,1
branch_and_bound_len,1,0.0,0.0,6.900000000000656e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1199999999999405e-05,2
dinamic_programming,1,0.0,0.0,2.040000000000028e-05,1
branch_and_bound_len,1,0.0,0.0,6.899999999998921e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1300000000000546e-05,2
dinamic_programming,1,0.0,0.0,2.0600000000000826e-05,1
branch_and_bound_len,1,0.0,0.0,7.199999999998874e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.0999999999998858e-05,2
dinamic_programming,1,0.0,0.0,2.040000000000028e-05,1
branch_and_bound_len,1,0.0,0.0,6.900000000000656e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1099999999999999e-05,2
dinamic_programming,2,0.0,0.0,2.7700000000000294e-05,1
branch_and_bound_len,2,0.0,0.0,1.0100000000000733e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.6600000000000295e-05,3
dinamic_programming,2,0.0,0.0,2.2599999999999357e-05,1
branch_and_bound_len,2,0.0,0.0,1.2500000000000358e-05,3
branch_and_bound_cnt,2,0.0,0.0,2.1200000000000732e-05,3
dinamic_programming,2,0.0,0.0,4.2499999999999136e-05,1
branch_and_bound_len,2,0.0,0.0,1.1000000000000593e-05,3
branch_and_bound_cnt,2,0.0,0.0010111331939697266,4.900000000000043e-05,3
dinamic_programming,2,0.0,0.0,7.410000000000055e-05,1
branch_and_bound_len,2,0.0,0.0,1.2899999999999717e-05,3
branch_and_bound_cnt,2,0.0,0.0,3.8099999999999246e-05,3
dinamic_programming,2,0.0,0.0,7.330000000000184e-05,1
branch_and_bound_len,2,0.0,0.0,2.7800000000001435e-05,3
branch_and_bound_cnt,2,0.0,0.0,3.500000000000031e-05,3
dinamic_programming,2,0.0,0.000997781753540039,4.9199999999999244e-05,1
branch_and_bound_len,2,0.0,0.0,1.0900000000001187e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.7300000000001342e-05,3
dinamic_programming,2,0.0,0.0,2.4500000000000216e-05,1
branch_and_bound_len,2,0.0,0.0,9.499999999999093e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.610000000000153e-05,3
dinamic_programming,2,0.0,0.0,2.1999999999997716e-05,1
branch_and_bound_len,2,0.0,0.0,1.0599999999999499e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.560000000000103e-05,3
dinamic_programming,2,0.0,0.0,2.2000000000001185e-05,1
branch_and_bound_len,2,0.0,0.0,9.399999999999686e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.609999999999806e-05,3
dinamic_programming,2,0.0,0.0,5.389999999999909e-05,1
branch_and_bound_len,2,0.0,0.0,2.2500000000001685e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.510000000000053e-05,3
dinamic_programming,3,0.0,0.0,2.490000000000131e-05,1
branch_and_bound_len,3,0.0,0.0,1.2899999999999717e-05,4
branch_and_bound_cnt,3,0.0,0.0,3.320000000000059e-05,4
dinamic_programming,3,0.0,0.0,2.3099999999998122e-05,1
branch_and_bound_len,3,0.0,0.0,1.1799999999999311e-05,4
branch_and_bound_cnt,3,0.0,0.0009915828704833984,3.649999999999834e-05,4
dinamic_programming,3,0.0,0.0,2.770000000000203e-05,1
branch_and_bound_len,3,0.0,0.0,1.180000000000278e-05,4
branch_and_bound_cnt,3,0.0,0.0,3.429999999999753e-05,4
dinamic_programming,3,0.0,0.0,2.490000000000131e-05,1
branch_and_bound_len,3,0.0,0.0,1.1799999999999311e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.0200000000001467e-05,4
dinamic_programming,3,0.0,0.0,2.3200000000000998e-05,1
branch_and_bound_len,3,0.0,0.0,1.1699999999999905e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.010000000000206e-05,4
dinamic_programming,3,0.0,0.0,2.3099999999998122e-05,1
branch_and_bound_len,3,0.0,0.0,1.1600000000000499e-05,4
branch_and_bound_cnt,3,0.0,0.0,1.9700000000004436e-05,4
dinamic_programming,3,0.0,0.0,2.3000000000002185e-05,1
branch_and_bound_len,3,0.0,0.0,1.1400000000001687e-05,4
branch_and_bound_cnt,3,0.0,0.0,1.9800000000000373e-05,4
dinamic_programming,3,0.0,0.0,2.3000000000002185e-05,1
branch_and_bound_len,3,0.0,0.0,1.1400000000001687e-05,4
branch_and_bound_cnt,3,0.0,0.0,1.990000000000325e-05,4
dinamic_programming,3,0.0,0.0,2.2800000000003373e-05,1
branch_and_bound_len,3,0.0,0.0,1.1799999999999311e-05,4
branch_and_bound_cnt,3,0.0,0.0,6.37999999999958e-05,4
dinamic_programming,3,0.0,0.0,3.419999999999812e-05,1
branch_and_bound_len,3,0.0,0.0,1.4299999999994872e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.3200000000000998e-05,4
dinamic_programming,4,0.0,0.0,4.7199999999997244e-05,1
branch_and_bound_len,4,0.0,0.0,1.5899999999999248e-05,5
branch_and_bound_cnt,4,0.0,0.0,2.619999999999706e-05,5
dinamic_programming,4,0.0,0.0,3.0000000000002247e-05,1
branch_and_bound_len,4,0.0,0.0,1.5900000000006187e-05,5
branch_and_bound_cnt,4,0.0,0.0,2.739999999999687e-05,5
dinamic_programming,4,0.0,0.0,4.2399999999997995e-05,1
branch_and_bound_len,4,0.0,0.0,1.4899999999998248e-05,5
branch_and_bound_cnt,4,0.0,0.0,2.5600000000000622e-05,5
dinamic_programming,4,0.0,0.0,3.0100000000005123e-05,1
branch_and_bound_len,4,0.0,0.0,1.3900000000004187e-05,5
branch_and_bound_cnt,4,0.0,0.0,2.4599999999999622e-05,5
dinamic_programming,4,0.0,0.0,4.350000000000187e-05,1
branch_and_bound_len,4,0.0,0.0,1.459999999999656e-05,5
branch_and_bound_cnt,4,0.0,0.0,2.4000000000003185e-05,5
dinamic_programming,4,0.0,0.0,2.9100000000004123e-05,1
branch_and_bound_len,4,0.0,0.0,1.5899999999999248e-05,5
branch_and_bound_cnt,4,0.0,0.0,2.440000000000081e-05,5
dinamic_programming,4,0.0,0.0,2.939999999999887e-05,1
branch_and_bound_len,4,0.0,0.0,1.5899999999999248e-05,5
branch_and_bound_cnt,4,0.0,0.0,2.410000000000606e-05,5
dinamic_programming,4,0.0,0.0,3.3299999999999996e-05,1
branch_and_bound_len,4,0.0,0.0,1.5700000000000436e-05,5
branch_and_bound_cnt,4,0.0,0.0,2.7100000000002122e-05,5
dinamic_programming,4,0.0,0.0,3.569999999999962e-05,1
branch_and_bound_len,4,0.0,0.0,1.6299999999996873e-05,5
branch_and_bound_cnt,4,0.0,0.0,2.6099999999994183e-05,5
dinamic_programming,4,0.0,0.0,2.619999999999706e-05,1
branch_and_bound_len,4,0.0,0.0,1.3699999999998436e-05,5
branch_and_bound_cnt,4,0.0,0.0,2.440000000000081e-05,5
dinamic_programming,5,1.0,0.001001596450805664,0.0002593999999999999,1
branch_and_bound_len,5,1.0,0.0,2.769999999999856e-05,10
branch_and_bound_cnt,5,1.0,0.0,2.970000000000056e-05,6
dinamic_programming,5,1.0,0.0,0.00012670000000000042,1
branch_and_bound_len,5,1.0,0.0,4.200000000000037e-05,10
branch_and_bound_cnt,5,1.0,0.000997781753540039,7.059999999999705e-05,7
dinamic_programming,5,1.0,0.0,0.0001389000000000043,1
branch_and_bound_len,5,1.0,0.0,3.589999999999843e-05,14
branch_and_bound_cnt,5,1.0,0.0,3.779999999999756e-05,8
dinamic_programming,5,1.0,0.0,0.00019469999999999904,1
branch_and_bound_len,5,1.0,0.0,2.5600000000000622e-05,10
branch_and_bound_cnt,5,1.0,0.0,3.2100000000000184e-05,7
dinamic_programming,5,1.0,0.0,0.00019299999999999873,1
branch_and_bound_len,5,1.0,0.0,3.3299999999999996e-05,14
branch_and_bound_cnt,5,1.0,0.00099945068359375,3.790000000000043e-05,8
dinamic_programming,5,1.0,0.0,0.00019299999999999873,1
branch_and_bound_len,5,1.0,0.0,2.5299999999998934e-05,10
branch_and_bound_cnt,5,1.0,0.0,3.539999999999793e-05,8
dinamic_programming,5,1.0,0.0,0.00016420000000000323,1
branch_and_bound_len,5,1.0,0.0,4.250000000000087e-05,18
branch_and_bound_cnt,5,1.0,0.0,3.240000000000187e-05,8
dinamic_programming,5,1.0,0.0,0.00016499999999999848,1
branch_and_bound_len,5,1.0,0.0,3.299999999999831e-05,14
branch_and_bound_cnt,5,1.0,0.0,3.519999999999912e-05,8
dinamic_programming,5,1.0,0.0,0.00013600000000000417,1
branch_and_bound_len,5,1.0,0.0,7.369999999999599e-05,26
branch_and_bound_cnt,5,1.0,0.0,5.7700000000000806e-05,10
dinamic_programming,5,1.0,0.0,0.00018610000000000154,1
branch_and_bound_len,5,1.0,0.0,3.449999999999981e-05,14
branch_and_bound_cnt,5,1.0,0.0,3.500000000000031e-05,8
dinamic_programming,6,1.0,0.0010008811950683594,0.00026500000000000135,1
branch_and_bound_len,6,1.0,0.0,5.979999999999874e-05,31
branch_and_bound_cnt,6,1.0,0.0,4.0399999999995995e-05,11
dinamic_programming,6,1.0,0.0,0.00022909999999999597,1
branch_and_bound_len,6,1.0,0.0,6.009999999999349e-05,27
branch_and_bound_cnt,6,1.0,0.0,4.0300000000007e-05,9
dinamic_programming,6,1.0,0.0,0.00016410000000000036,1
branch_and_bound_len,6,1.0,0.0,8.239999999999637e-05,31
branch_and_bound_cnt,6,1.0,0.0,5.809999999999149e-05,11
dinamic_programming,6,1.0,6.914138793945312e-05,0.0001976000000000061,1
branch_and_bound_len,6,1.0,0.0,3.219999999999612e-05,11
branch_and_bound_cnt,6,1.0,0.0009281635284423828,4.020000000000412e-05,7
dinamic_programming,6,1.0,0.0,0.00021479999999998722,1
branch_and_bound_len,6,1.0,0.0,3.899999999999737e-05,15
branch_and_bound_cnt,6,1.0,0.0,4.179999999999462e-05,9
dinamic_programming,6,1.0,0.0,0.0002158000000000021,1
branch_and_bound_len,6,1.0,0.0,6.159999999999499e-05,27
branch_and_bound_cnt,6,1.0,0.0,4.0399999999995995e-05,9
dinamic_programming,6,1.0,0.0,0.00021760000000001223,1
branch_and_bound_len,6,1.0,0.0,3.640000000000587e-05,15
branch_and_bound_cnt,6,1.0,0.0,3.6399999999991994e-05,8
dinamic_programming,6,1.0,0.0,0.00021190000000000098,1
branch_and_bound_len,6,1.0,0.0,6.629999999999137e-05,31
branch_and_bound_cnt,6,1.0,0.0,3.8899999999994495e-05,11
dinamic_programming,6,1.0,0.0,0.0002163000000000026,1
branch_and_bound_len,6,1.0,0.0,4.58000000000125e-05,19
branch_and_bound_cnt,6,1.0,0.0,4.029999999999312e-05,9
dinamic_programming,6,1.0,0.0,0.00022529999999999772,1
branch_and_bound_len,6,1.0,0.0,6.3500000000008e-05,27
branch_and_bound_cnt,6,1.0,0.0,4.0399999999995995e-05,9
