algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,1.0,0.0,6.739999999999524e-05,1
branch_and_bound_len,1,1.0,0.0,1.5299999999995872e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.6999999999989246e-05,6
dinamic_programming,1,1.0,0.001116037368774414,0.00025599999999997847,1
branch_and_bound_len,1,1.0,0.0,1.4600000000003499e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.5500000000001624e-05,6
dinamic_programming,1,1.0,0.0,7.479999999998599e-05,1
branch_and_bound_len,1,1.0,0.0,1.2199999999989997e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.4699999999978619e-05,6
dinamic_programming,1,1.0,0.0,9.880000000000999e-05,1
branch_and_bound_len,1,1.0,0.0,1.2099999999987121e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.4500000000000624e-05,6
dinamic_programming,1,1.0,0.0,0.0001361000000000001,1
branch_and_bound_len,1,1.0,0.0,2.66000000000155e-05,6
branch_and_bound_cnt,1,1.0,0.0,2.289999999999237e-05,6
dinamic_programming,1,1.0,0.0,0.0001312999999999731,1
branch_and_bound_len,1,1.0,0.0,1.380000000000825e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.569999999997962e-05,6
dinamic_programming,1,1.0,0.0,6.989999999998386e-05,1
branch_and_bound_len,1,1.0,0.0,1.180000000000625e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.4699999999978619e-05,6
dinamic_programming,1,1.0,0.0,7.050000000000112e-05,1
branch_and_bound_len,1,1.0,0.0,1.1900000000009126e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.4900000000012126e-05,6
dinamic_programming,1,1.0,0.0,8.730000000001237e-05,1
branch_and_bound_len,1,1.0,0.0,1.480000000000925e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.5399999999998748e-05,6
dinamic_programming,1,1.0,0.0,8.510000000000462e-05,1
branch_and_bound_len,1,1.0,0.0,1.2499999999998623e-05,6
branch_and_bound_cnt,1,1.0,0.0009982585906982422,1.7700000000009375e-05,6
dinamic_programming,2,2.0,0.0,9.370000000000211e-05,1
branch_and_bound_len,2,2.0,0.0,3.069999999999462e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.56000000000145e-05,9
dinamic_programming,2,2.0,0.0,8.710000000000662e-05,1
branch_and_bound_len,2,2.0,0.0,2.9700000000021376e-05,19
