algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,0,0.0,3.0500000001154604e-05,1
branch_and_bound_len,1,0,0.0,2.2699999998820886e-05,2
branch_and_bound_cnt,1,0,0.0,1.3299999999105694e-05,2
dinamic_programming,1,0,0.0,2.3900000000409705e-05,1
branch_and_bound_len,1,0,0.0,7.899999999949614e-06,2
branch_and_bound_cnt,1,0,0.0,1.2200000000461841e-05,2
dinamic_programming,1,0,0.0,3.790000000059024e-05,1
branch_and_bound_len,1,0,0.0,7.800000000557361e-06,2
branch_and_bound_cnt,1,0,0.0,1.259999999980721e-05,2
dinamic_programming,1,0,0.0,2.3699999999848842e-05,1
branch_and_bound_len,1,0,0.0,8.499999999855845e-06,2
branch_and_bound_cnt,1,0,0.0,1.2800000000368073e-05,2
dinamic_programming,1,0,0.0,4.450000000133514e-05,1
branch_and_bound_len,1,0,0.0,2.4299999999755073e-05,2
branch_and_bound_cnt,1,0,0.000993967056274414,3.1700000000967066e-05,2
dinamic_programming,1,0,0.0,2.7400000000454838e-05,1
branch_and_bound_len,1,0,0.0,7.400000001211993e-06,2
branch_and_bound_cnt,1,0,0.0,1.1299999998826138e-05,2
dinamic_programming,1,0,0.0,4.609999999871661e-05,1
branch_and_bound_len,1,0,0.0,1.0800000000088517e-05,2
branch_and_bound_cnt,1,0,0.0,1.3600000000835166e-05,2
dinamic_programming,1,0,0.0,4.549999999881038e-05,1
branch_and_bound_len,1,0,0.0,7.800000000557361e-06,2
branch_and_bound_cnt,1,0,0.0,1.1500000001163357e-05,2
dinamic_programming,1,0,0.0,2.4299999999755073e-05,1
branch_and_bound_len,1,0,0.0,7.499999998827889e-06,2
branch_and_bound_cnt,1,0,0.0,1.089999999948077e-05,2
dinamic_programming,1,0,0.0,5.519999999847869e-05,1
branch_and_bound_len,1,0,0.0,1.3199999999713441e-05,2
branch_and_bound_cnt,1,0,0.0,1.2200000000461841e-05,2
dinamic_programming,2,0,0.0,2.8199999999145575e-05,1
branch_and_bound_len,2,0,0.0,1.0599999999527654e-05,3
branch_and_bound_cnt,2,0,0.0,1.7200000000272553e-05,3
dinamic_programming,2,0,0.0,2.480000000026905e-05,1
branch_and_bound_len,2,0,0.0,9.600000000276054e-06,3
branch_and_bound_cnt,2,0,0.0,1.6800000000927184e-05,3
dinamic_programming,2,0,0.0,2.3900000000409705e-05,1
branch_and_bound_len,2,0,0.0,9.79999999906056e-06,3
branch_and_bound_cnt,2,0,0.0,1.8400000000085015e-05,3
dinamic_programming,2,0,0.0,3.109999999928448e-05,1
branch_and_bound_len,2,0,0.0,1.0499999998359044e-05,3
branch_and_bound_cnt,2,0,0.0,1.7099999999103943e-05,3
dinamic_programming,2,0,0.0,2.420000000036282e-05,1
branch_and_bound_len,2,0,0.0,9.700000001444664e-06,3
branch_and_bound_cnt,2,0,0.0,1.6800000000927184e-05,3
dinamic_programming,2,0,0.0,2.4399999999147326e-05,1
branch_and_bound_len,2,0,0.0,9.600000000276054e-06,3
branch_and_bound_cnt,2,0,0.0,1.5900000001067838e-05,3
dinamic_programming,2,0,0.0,5.660000000062837e-05,1
branch_and_bound_len,2,0,0.0,1.079999999831216e-05,3
branch_and_bound_cnt,2,0,0.0,1.7899999999571037e-05,3
dinamic_programming,2,0,0.0,2.729999999928623e-05,1
branch_and_bound_len,2,0,0.0,2.530000000078303e-05,3
branch_and_bound_cnt,2,0,0.0,1.820000000130051e-05,3
dinamic_programming,2,0,0.0,3.0100000000032878e-05,1
branch_and_bound_len,2,0,0.0,1.089999999948077e-05,3
branch_and_bound_cnt,2,0,0.0,1.739999999905706e-05,3
dinamic_programming,2,0,0.0,2.590000000068926e-05,1
branch_and_bound_len,2,0,0.0,1.0099999999013676e-05,3
branch_and_bound_cnt,2,0,0.0,1.639999999980546e-05,3
dinamic_programming,3,0,0.0,2.509999999844581e-05,1
branch_and_bound_len,3,0,0.0,1.3100000000321188e-05,4
branch_and_bound_cnt,3,0,0.0,2.1800000000737896e-05,4
dinamic_programming,3,0,0.0,2.490000000143766e-05,1
branch_and_bound_len,3,0,0.0,1.2899999999760325e-05,4
branch_and_bound_cnt,3,0,0.0,2.1699999999569286e-05,4
dinamic_programming,3,0,0.0,2.5000000000829914e-05,1
branch_and_bound_len,3,0,0.0,1.2099999999293232e-05,4
branch_and_bound_cnt,3,0,0.0,2.1199999999055308e-05,4
dinamic_programming,3,0,0.0,2.420000000036282e-05,1
branch_and_bound_len,3,0,0.0,1.1500000001163357e-05,4
branch_and_bound_cnt,3,0,0.0,2.1000000000270802e-05,4
dinamic_programming,3,0,0.0,2.4500000000315936e-05,1
branch_and_bound_len,3,0,0.0,1.1699999999947863e-05,4
branch_and_bound_cnt,3,0,0.0,4.509999999946501e-05,4
dinamic_programming,3,0,0.0,3.859999999988872e-05,1
branch_and_bound_len,3,0,0.0,1.3000000000928935e-05,4
branch_and_bound_cnt,3,0,0.0,2.210000000069101e-05,4
dinamic_programming,3,0,0.0,2.6800000000548607e-05,1
branch_and_bound_len,3,0,0.0,1.160000000055561e-05,4
branch_and_bound_cnt,3,0,0.0,2.079999999970994e-05,4
dinamic_programming,3,0,0.0,2.480000000026905e-05,1
branch_and_bound_len,3,0,0.0,1.1599999998779253e-05,4
branch_and_bound_cnt,3,0,0.0,2.0600000000925434e-05,4
dinamic_programming,3,0,0.0,2.469999999910044e-05,1
branch_and_bound_len,3,0,0.0,1.4200000000741397e-05,4
branch_and_bound_cnt,3,0,0.0,2.0300000000972318e-05,4
dinamic_programming,3,0,0.0,2.3999999999801958e-05,1
