algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,0,0.0,2.920000000017353e-05,1
branch_and_bound_len,1,0,0.0,9.899999998452813e-06,2
branch_and_bound_cnt,1,0,0.0,1.3000000002705292e-05,2
dinamic_programming,1,0,0.0,2.3699999999848842e-05,1
branch_and_bound_len,1,0,0.0,7.899999999949614e-06,2
branch_and_bound_cnt,1,0,0.0,1.2699999999199463e-05,2
dinamic_programming,1,0,0.0,2.3499999997511622e-05,1
branch_and_bound_len,1,0,0.0,8.299999997518626e-06,2
branch_and_bound_cnt,1,0,0.0,1.2600000001583567e-05,2
dinamic_programming,1,0,0.0,4.569999999759489e-05,1
branch_and_bound_len,1,0,7.343292236328125e-05,3.530000000040445e-05,2
branch_and_bound_cnt,1,0,0.0,1.2500000000414957e-05,2
dinamic_programming,1,0,0.0,2.4400000000923683e-05,1
branch_and_bound_len,1,0,0.0,8.100000002286833e-06,2
branch_and_bound_cnt,1,0,0.0,1.1299999997049781e-05,2
dinamic_programming,1,0,0.0,2.4100000000970567e-05,1
branch_and_bound_len,1,0,0.0,2.7400000000454838e-05,2
branch_and_bound_cnt,1,0,0.0,1.1799999999340116e-05,2
dinamic_programming,1,0,0.000997304916381836,5.200000000016303e-05,1
branch_and_bound_len,1,0,0.0,7.500000002380602e-06,2
branch_and_bound_cnt,1,0,0.000997304916381836,5.0900000001519174e-05,2
dinamic_programming,1,0,0.0,2.4100000000970567e-05,1
branch_and_bound_len,1,0,0.0,1.0199999998405929e-05,2
branch_and_bound_cnt,1,0,0.0,1.1999999998124622e-05,2
dinamic_programming,1,0,0.0,2.8999999997836312e-05,1
branch_and_bound_len,1,0,0.0,7.199999998874773e-06,2
branch_and_bound_cnt,1,0,0.0,1.1900000000508726e-05,2
dinamic_programming,1,0,0.0,5.649999999945976e-05,1
branch_and_bound_len,1,0,0.0,2.050000000153318e-05,2
branch_and_bound_cnt,1,0,0.0,1.1100000001817989e-05,2
dinamic_programming,2,0,0.0,2.569999999835204e-05,1
branch_and_bound_len,2,0,0.0,3.0200000001201488e-05,3
branch_and_bound_cnt,2,0,0.0,2.9699999998911153e-05,3
dinamic_programming,2,0,0.0,2.849999999909869e-05,1
branch_and_bound_len,2,0,0.0,1.0200000001958642e-05,3
branch_and_bound_cnt,2,0,0.0,1.8199999999524152e-05,3
dinamic_programming,2,0,0.0,3.389999999825477e-05,1
branch_and_bound_len,2,0,0.0,2.729999999928623e-05,3
branch_and_bound_cnt,2,0,0.0,1.749999999844931e-05,3
dinamic_programming,2,0,0.0,2.729999999928623e-05,1
branch_and_bound_len,2,0,0.0,9.999999999621423e-06,3
branch_and_bound_cnt,2,0,0.0,2.9900000001248372e-05,3
dinamic_programming,2,0,0.0,3.7800000001197986e-05,1
branch_and_bound_len,2,0,0.0,1.0199999998405929e-05,3
branch_and_bound_cnt,2,0,0.0,1.699999999971169e-05,3
dinamic_programming,2,0,0.0,4.57000000011476e-05,1
branch_and_bound_len,2,0,0.0,1.0100000000790033e-05,3
branch_and_bound_cnt,2,0,0.0,1.650000000097407e-05,3
dinamic_programming,2,0,0.0,2.4299999999755073e-05,1
branch_and_bound_len,2,0,0.0,9.800000000836917e-06,3
branch_and_bound_cnt,2,0,0.0009942054748535156,1.920000000055211e-05,3
dinamic_programming,2,0,0.0,2.3399999999895726e-05,1
branch_and_bound_len,2,0,0.0,9.800000000836917e-06,3
branch_and_bound_cnt,2,0,0.0,5.499999999969418e-05,3
dinamic_programming,2,0,0.0,2.719999999811762e-05,1
branch_and_bound_len,2,0,0.0,1.0599999999527654e-05,3
branch_and_bound_cnt,2,0,0.0,1.639999999980546e-05,3
dinamic_programming,2,0,0.0,2.579999999952065e-05,1
branch_and_bound_len,2,0,0.0,1.0800000001864873e-05,3
branch_and_bound_cnt,2,0,0.0,1.629999999863685e-05,3
dinamic_programming,3,0,0.0,2.530000000078303e-05,1
branch_and_bound_len,3,0,0.0,1.2500000000414957e-05,4
branch_and_bound_cnt,3,0,0.0,2.2099999998914654e-05,4
dinamic_programming,3,0,0.0,2.4799999998492694e-05,1
branch_and_bound_len,3,0,0.0,1.2300000001630451e-05,4
branch_and_bound_cnt,3,0,0.0,2.1499999999008423e-05,4
dinamic_programming,3,0,0.0,2.4199999998586463e-05,1
branch_and_bound_len,3,0,0.0,1.2200000000461841e-05,4
branch_and_bound_cnt,3,0,0.0,2.1300000000223918e-05,4
dinamic_programming,3,0,0.0,2.449999999853958e-05,1
branch_and_bound_len,3,0,0.0,1.2699999999199463e-05,4
branch_and_bound_cnt,3,0,0.0,2.1499999999008423e-05,4
dinamic_programming,3,0,0.0,3.9199999999794954e-05,1
branch_and_bound_len,3,0,0.0,1.3400000000274304e-05,4
branch_and_bound_cnt,3,0,0.0,3.659999999783281e-05,4
dinamic_programming,3,0,0.0,5.91999999990378e-05,1
branch_and_bound_len,3,0,0.0,1.419999999896504e-05,4
branch_and_bound_cnt,3,0,0.0,2.190000000013015e-05,4
dinamic_programming,3,0,0.0,2.7700000000407954e-05,1
branch_and_bound_len,3,0,0.0,1.2999999999152578e-05,4
branch_and_bound_cnt,3,0,0.0,2.1000000000270802e-05,4
