algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,0.0,0.0,3.1100000001060835e-05,1
branch_and_bound_len,1,0.0,0.0,8.599999997471741e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1900000000508726e-05,2
dinamic_programming,1,0.0,0.0,0.0001107999999980791,1
branch_and_bound_len,1,0.0,0.0,8.90000000097757e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1900000000508726e-05,2
dinamic_programming,1,0.0,0.0,2.719999999811762e-05,1
branch_and_bound_len,1,0.0,0.0,7.399999997659279e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1499999999387e-05,2
dinamic_programming,1,0.0,0.0,2.5499999999567535e-05,1
branch_and_bound_len,1,0.0,0.0,7.100000001258877e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1099999998265275e-05,2
dinamic_programming,1,0.0,0.0,4.39999999990448e-05,1
branch_and_bound_len,1,0.0,0.0,7.000000000090267e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.100000000064938e-05,2
dinamic_programming,1,0.0,0.0,2.530000000078303e-05,1
branch_and_bound_len,1,0.0,0.0,7.000000000090267e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1100000001817989e-05,2
dinamic_programming,1,0.0,0.0,4.3300000001522676e-05,1
branch_and_bound_len,1,0.0,0.0,7.099999997706163e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1100000001817989e-05,2
dinamic_programming,1,0.0,0.0,2.4899999999661304e-05,1
branch_and_bound_len,1,0.0,0.0009970664978027344,9.299999998546582e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.089999999948077e-05,2
dinamic_programming,1,0.0,0.0,4.3300000001522676e-05,1
branch_and_bound_len,1,0.0,0.0,7.099999997706163e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1199999999433885e-05,2
dinamic_programming,1,0.0,0.0,2.519999999961442e-05,1
branch_and_bound_len,1,0.0,0.0,8.90000000097757e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1499999999387e-05,2
