algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,0.0,0.0,4.709999999974457e-05,1
branch_and_bound_len,1,0.0,0.0,8.699999998640351e-06,2
branch_and_bound_cnt,1,0.0,0.000997304916381836,3.119999999867673e-05,2
dinamic_programming,1,0.0,0.0,2.820000000269829e-05,1
branch_and_bound_len,1,0.0,0.0,8.999999998593466e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.170000000172422e-05,2
dinamic_programming,1,0.0,0.0,2.309999999994261e-05,1
branch_and_bound_len,1,0.0,0.0,7.199999998874773e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1099999998265275e-05,2
dinamic_programming,1,1.0,0.0,7.030000000085579e-05,1
branch_and_bound_len,1,1.0,0.0,1.3199999997937084e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.5399999998777503e-05,6
dinamic_programming,1,0.0,0.0,2.3499999997511622e-05,1
branch_and_bound_len,1,0.0,0.0,6.700000000137152e-06,2
branch_and_bound_cnt,1,0.0,0.0,2.4400000000923683e-05,2
dinamic_programming,1,0.0,0.0,2.4299999999755073e-05,1
branch_and_bound_len,1,0.0,0.0,6.599999998968542e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.089999999948077e-05,2
dinamic_programming,1,1.0,0.0,7.369999999795596e-05,1
branch_and_bound_len,1,1.0,0.0,1.619999999746824e-05,6
branch_and_bound_cnt,1,1.0,0.0,4.8700000000678756e-05,6
dinamic_programming,1,1.0,0.0,9.850000000000136e-05,1
branch_and_bound_len,1,1.0,0.0,1.4600000000086766e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.679999999737447e-05,6
dinamic_programming,1,1.0,0.0,5.300000000119098e-05,1
branch_and_bound_len,1,1.0,0.0,1.2600000001583567e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.5899999997515124e-05,6
dinamic_programming,1,1.0,0.0,4.8700000000678756e-05,1
branch_and_bound_len,1,1.0,0.0,1.2200000000461841e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.5499999999946112e-05,6
dinamic_programming,2,1.0,0.0,8.38999999999146e-05,1
branch_and_bound_len,2,1.0,0.0,2.4299999999755073e-05,11
branch_and_bound_cnt,2,1.0,0.0,2.200000000129876e-05,7
dinamic_programming,2,1.0,0.0,0.00010939999999948213,1
branch_and_bound_len,2,1.0,0.0,2.600000000185787e-05,11
branch_and_bound_cnt,2,1.0,0.0,2.2799999999989495e-05,7
dinamic_programming,2,1.0,0.0009970664978027344,7.45000000001994e-05,1
branch_and_bound_len,2,1.0,0.0,2.4899999999661304e-05,11
branch_and_bound_cnt,2,1.0,0.0,2.200000000129876e-05,7
dinamic_programming,2,0.0,0.0,2.459999999970819e-05,1
branch_and_bound_len,2,0.0,0.0,9.800000000836917e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.689999999854308e-05,3
dinamic_programming,2,1.0,0.0,8.659999999949264e-05,1
branch_and_bound_len,2,1.0,0.0,1.90999999993835e-05,7
branch_and_bound_cnt,2,1.0,0.0,1.9299999998168005e-05,4
dinamic_programming,2,1.0,0.0,8.21000000001959e-05,1
branch_and_bound_len,2,1.0,0.0,2.4100000000970567e-05,11
branch_and_bound_cnt,2,1.0,0.0,2.2100000002467368e-05,7
dinamic_programming,2,1.0,0.0,8.109999999916795e-05,1
branch_and_bound_len,2,1.0,0.0,2.3899999998633348e-05,11
branch_and_bound_cnt,2,1.0,0.0,2.1199999999055308e-05,7
dinamic_programming,2,2.0,0.0,8.679999999827714e-05,1
branch_and_bound_len,2,2.0,0.0,3.0199999997648774e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.6300000001810986e-05,9
dinamic_programming,2,2.0,0.0,6.150000000104683e-05,1
branch_and_bound_len,2,2.0,0.0,3.0399999999985994e-05,19
branch_and_bound_cnt,2,2.0,0.0,3.589999999675797e-05,13
dinamic_programming,2,0.0,0.0,2.3599999998680232e-05,1
branch_and_bound_len,2,0.0,0.0,9.099999999762076e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.4900000000039881e-05,3
dinamic_programming,3,2.0,0.0,0.0001315999999995654,1
branch_and_bound_len,3,2.0,0.0,6.229999999973757e-05,34
branch_and_bound_cnt,3,2.0,0.0,5.3899999997497616e-05,19
dinamic_programming,3,2.0,0.0,0.000100900000003179,1
branch_and_bound_len,3,2.0,0.0,5.209999999777892e-05,30
branch_and_bound_cnt,3,2.0,0.0,4.5500000002363095e-05,15
dinamic_programming,3,2.0,0.0,0.00010269999999934498,1
branch_and_bound_len,3,2.0,0.0,5.110000000030368e-05,30
branch_and_bound_cnt,3,2.0,0.0,2.6899999998164503e-05,9
dinamic_programming,3,1.0,0.0,9.590000000159193e-05,1
branch_and_bound_len,3,1.0,0.0,9.179999999986421e-05,16
branch_and_bound_cnt,3,1.0,0.0,2.5999999998305157e-05,8
dinamic_programming,3,2.0,0.0,0.00010609999999999786,1
branch_and_bound_len,3,2.0,0.0,5.249999999890065e-05,30
branch_and_bound_cnt,3,2.0,0.0,4.630000000105383e-05,15
dinamic_programming,3,3.0,0.0,8.739999999818338e-05,1
branch_and_bound_len,3,3.0,0.0,9.070000000122036e-05,56
branch_and_bound_cnt,3,3.0,0.0,3.439999999699239e-05,12
dinamic_programming,3,1.0,0.0,0.0001774999999994975,1
