algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,0.0,0.0,3.1100000001060835e-05,1
branch_and_bound_len,1,0.0,0.0,9.399999999715192e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.3899999999011925e-05,2
dinamic_programming,1,0.0,0.0,2.5000000000829914e-05,1
branch_and_bound_len,1,0.0,0.0,7.500000002380602e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2000000001677336e-05,2
dinamic_programming,1,0.0,0.0,2.390000000218606e-05,1
branch_and_bound_len,1,0.0,0.0,7.100000001258877e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.160000000055561e-05,2
dinamic_programming,1,0.0,0.0,2.7400000000454838e-05,1
branch_and_bound_len,1,0.0,0.0,7.799999998781004e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.3100000000321188e-05,2
dinamic_programming,1,0.0,0.0,2.4900000003214018e-05,1
branch_and_bound_len,1,0.0,0.0,7.5999999999964984e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1899999996956012e-05,2
dinamic_programming,1,0.0,0.0,2.200000000129876e-05,1
branch_and_bound_len,1,0.0,0.0,2.6900000001717217e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.170000000172422e-05,2
dinamic_programming,1,0.0,0.0,2.250000000003638e-05,1
branch_and_bound_len,1,0.0,0.0,8.499999999855845e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1900000000508726e-05,2
dinamic_programming,1,0.0,0.0,2.1800000002514253e-05,1
branch_and_bound_len,1,0.0,0.0,7.199999998874773e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.170000000172422e-05,2
dinamic_programming,1,0.0,0.0,2.1499999999008423e-05,1
branch_and_bound_len,1,0.0,0.0,7.000000000090267e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1500000002939714e-05,2
dinamic_programming,1,0.0,0.0,2.1700000001345643e-05,1
branch_and_bound_len,1,0.0,0.0,8.599999997471741e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2200000000461841e-05,2
dinamic_programming,2,0.0,0.0,3.1700000000967066e-05,1
branch_and_bound_len,2,0.0,0.0,1.1599999997002897e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.780000000195514e-05,3
dinamic_programming,2,0.0,0.0,2.5600000000736145e-05,1
branch_and_bound_len,2,0.0,0.0,1.139999999821839e-05,3
branch_and_bound_cnt,2,0.0,0.0,3.0899999998723615e-05,3
dinamic_programming,2,0.0,0.0,2.4899999999661304e-05,1
branch_and_bound_len,2,0.0,0.0,9.800000000836917e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.6699999999758575e-05,3
dinamic_programming,2,0.0,0.0,2.309999999994261e-05,1
branch_and_bound_len,2,0.0,0.0,9.800000000836917e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.6599999998589965e-05,3
dinamic_programming,2,0.0,0.0,2.3800000001017452e-05,1
branch_and_bound_len,2,0.0,0.0,1.089999999948077e-05,3
branch_and_bound_cnt,2,0.0,0.0,3.169999999741435e-05,3
dinamic_programming,2,0.0,0.0,2.7599999999239344e-05,1
branch_and_bound_len,2,0.0,0.0,9.799999997284203e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.6800000000927184e-05,3
dinamic_programming,2,0.0,0.0,2.47000000008768e-05,1
branch_and_bound_len,2,0.0,0.0,1.0400000000743148e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.6800000000927184e-05,3
dinamic_programming,2,0.0,0.0,2.6800000000548607e-05,1
branch_and_bound_len,2,0.0,0.0,9.299999998546582e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.5699999998730618e-05,3
dinamic_programming,2,0.0,0.0,2.5899999997136547e-05,1
branch_and_bound_len,2,0.0,0.0009639263153076172,1.2000000001677336e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.5900000001067838e-05,3
dinamic_programming,2,0.0,0.0,2.4299999999755073e-05,1
branch_and_bound_len,2,0.0,0.0,2.5700000001904755e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.5900000001067838e-05,3
dinamic_programming,3,0.0,0.0,2.4800000002045408e-05,1
branch_and_bound_len,3,0.0,0.0,1.100000000064938e-05,4
branch_and_bound_cnt,3,0.0,0.0,1.969999999928973e-05,4
dinamic_programming,3,0.0,0.0,2.4299999999755073e-05,1
branch_and_bound_len,3,0.0,0.0,1.1500000002939714e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.0100000000411455e-05,4
dinamic_programming,3,0.0,0.0,2.4899999999661304e-05,1
branch_and_bound_len,3,0.0,0.0,1.1199999999433885e-05,4
branch_and_bound_cnt,3,0.0,0.0,1.9600000001673834e-05,4
dinamic_programming,3,0.0,0.0,2.4100000000970567e-05,1
branch_and_bound_len,3,0.0,0.0,1.1500000002939714e-05,4
branch_and_bound_cnt,3,0.0,0.0,1.980000000045834e-05,4
