algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,1.0,0.0,8.01999999993086e-05,1
branch_and_bound_len,1,1.0,0.0,2.8900000000220416e-05,6
branch_and_bound_cnt,1,1.0,0.0,2.999999999886427e-05,6
dinamic_programming,1,1.0,0.0,5.999999999772854e-05,1
branch_and_bound_len,1,1.0,0.0,1.2399999999246347e-05,6
branch_and_bound_cnt,1,1.0,0.0,3.0299999998817384e-05,6
dinamic_programming,1,1.0,0.0,8.509999999972706e-05,1
branch_and_bound_len,1,1.0,0.0,1.1599999997002897e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.440000000130226e-05,6
dinamic_programming,1,1.0,0.0,8.790000000047371e-05,1
branch_and_bound_len,1,1.0,0.0,1.2399999999246347e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.4900000000039881e-05,6
dinamic_programming,1,1.0,0.0,0.00010849999999962279,1
branch_and_bound_len,1,1.0,0.0,1.160000000055561e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.5699999998730618e-05,6
dinamic_programming,1,1.0,0.0,7.140000000305236e-05,1
branch_and_bound_len,1,1.0,0.0,1.5099999998824387e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.5700000002283332e-05,6
dinamic_programming,1,1.0,0.0,7.520000000127425e-05,1
branch_and_bound_len,1,1.0,0.0,1.1900000000508726e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.4799999998871272e-05,6
dinamic_programming,1,1.0,0.0,6.67999999990343e-05,1
branch_and_bound_len,1,1.0,0.0,1.089999999948077e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.5400000002330216e-05,6
dinamic_programming,1,1.0,0.0,9.159999999752699e-05,1
branch_and_bound_len,1,1.0,0.0,1.5900000001067838e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.5600000001114722e-05,6
dinamic_programming,1,1.0,0.0009958744049072266,0.00010419999999911056,1
branch_and_bound_len,1,1.0,0.0,1.430000000013365e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.5799999999899228e-05,6
dinamic_programming,2,2.0,0.0,0.00010759999999976344,1
branch_and_bound_len,2,2.0,0.0,3.189999999975157e-05,19
branch_and_bound_cnt,2,2.0,0.0,3.270000000199502e-05,11
dinamic_programming,2,2.0,0.0,0.00012680000000031555,1
branch_and_bound_len,2,2.0,0.0,2.9500000000126647e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.509999999844581e-05,9
dinamic_programming,2,2.0,0.0,8.460000000098944e-05,1
branch_and_bound_len,2,2.0,0.0,2.999999999886427e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.519999999961442e-05,9
dinamic_programming,2,2.0,0.0,9.509999999934848e-05,1
branch_and_bound_len,2,2.0,0.0,2.9800000000079763e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.509999999844581e-05,9
dinamic_programming,2,2.0,0.0,0.00010260000000172909,1
branch_and_bound_len,2,2.0,0.0,2.8900000000220416e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.4400000000923683e-05,9
dinamic_programming,2,1.0,0.0,8.289999999888664e-05,1
branch_and_bound_len,2,1.0,0.0,1.8399999998308658e-05,7
branch_and_bound_cnt,2,1.0,0.0,2.260000000120499e-05,5
dinamic_programming,2,2.0,0.0,7.890000000188024e-05,1
branch_and_bound_len,2,2.0,0.0,2.9500000000126647e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.509999999844581e-05,9
dinamic_programming,2,2.0,0.0,8.430000000103632e-05,1
branch_and_bound_len,2,2.0,0.0,2.880000000260452e-05,19
