algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,0,0.0,3.0699999996386396e-05,1
branch_and_bound_len,1,0,0.0,9.599999998499698e-06,2
branch_and_bound_cnt,1,0,0.0,1.3400000000274304e-05,2
dinamic_programming,1,0,0.0,2.5499999999567535e-05,1
branch_and_bound_len,1,0,0.0,8.000000001118224e-06,2
branch_and_bound_cnt,1,0,0.0,1.180000000289283e-05,2
dinamic_programming,1,0,0.0,2.4099999997417854e-05,1
branch_and_bound_len,1,0,0.0,8.099999995181406e-06,2
branch_and_bound_cnt,1,0,0.0,1.2200000000461841e-05,2
dinamic_programming,1,0,0.0,2.309999999994261e-05,1
branch_and_bound_len,1,0,0.0,7.799999998781004e-06,2
branch_and_bound_cnt,1,0,0.0,1.1799999995787402e-05,2
dinamic_programming,1,0,0.0,2.8799999995499093e-05,1
branch_and_bound_len,1,0,0.0,8.400000005792663e-06,2
branch_and_bound_cnt,1,0,0.0,1.180000000289283e-05,2
dinamic_programming,1,0,0.0,2.3599999998680232e-05,1
branch_and_bound_len,1,0,0.0,7.799999998781004e-06,2
branch_and_bound_cnt,1,0,0.0,1.160000000055561e-05,2
dinamic_programming,1,0,0.0,2.5000000000829914e-05,1
branch_and_bound_len,1,0,0.0,6.899999995368944e-06,2
branch_and_bound_cnt,1,0,0.0,1.089999999948077e-05,2
dinamic_programming,1,0,0.0,2.4199999998586463e-05,1
branch_and_bound_len,1,0,0.0,6.700000000137152e-06,2
branch_and_bound_cnt,1,0,0.0,1.5400000002330216e-05,2
dinamic_programming,1,0,0.0,3.2400000002041907e-05,1
branch_and_bound_len,1,0,0.0,8.200000003455443e-06,2
branch_and_bound_cnt,1,0,0.0,1.160000000055561e-05,2
dinamic_programming,1,0,0.0,4.400000000259752e-05,1
branch_and_bound_len,1,0,0.0,7.199999998874773e-06,2
branch_and_bound_cnt,1,0,0.0,1.2800000000368073e-05,2
dinamic_programming,2,0,0.0,7.61000000011336e-05,1
branch_and_bound_len,2,0,0.0,3.070000000349182e-05,3
branch_and_bound_cnt,2,0,0.0,1.5500000003498826e-05,3
dinamic_programming,2,0,0.0,2.7100000004054436e-05,1
branch_and_bound_len,2,0,0.0,8.699999995087637e-06,3
branch_and_bound_cnt,2,0,0.0,1.4899999996487168e-05,3
dinamic_programming,2,0,0.0,2.5700000001904755e-05,1
branch_and_bound_len,2,0,0.0,2.190000000013015e-05,3
branch_and_bound_cnt,2,0,0.0,1.649999999386864e-05,3
dinamic_programming,2,0,0.000997304916381836,3.23000000008733e-05,1
branch_and_bound_len,2,0,0.0,4.3400000002691286e-05,3
branch_and_bound_cnt,2,0,0.0,1.860000000419859e-05,3
dinamic_programming,2,0,0.0,6.819999999407855e-05,1
branch_and_bound_len,2,0,0.0,1.0100000004342746e-05,3
branch_and_bound_cnt,2,0,0.0,1.559999999756201e-05,3
dinamic_programming,2,0,0.0,4.1699999997035775e-05,1
branch_and_bound_len,2,0,0.0,8.399999998687235e-06,3
branch_and_bound_cnt,2,0,0.0,1.4899999996487168e-05,3
dinamic_programming,2,0,0.0,2.83000000038669e-05,1
branch_and_bound_len,2,0,0.0,9.499999997331088e-06,3
branch_and_bound_cnt,2,0,0.0,1.770000000078653e-05,3
dinamic_programming,2,0,0.0,4.1899999999372994e-05,1
branch_and_bound_len,2,0,0.0,2.6300000001810986e-05,3
branch_and_bound_cnt,2,0,0.0,1.9399999999336615e-05,3
dinamic_programming,2,0,0.0,3.6999999998954536e-05,1
branch_and_bound_len,2,0,0.0,1.1999999998124622e-05,3
branch_and_bound_cnt,2,0,0.0,3.380000000419159e-05,3
dinamic_programming,2,0,0.0,5.180000000137852e-05,1
branch_and_bound_len,2,0,0.0,1.3799999997843315e-05,3
