algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,0.0,0.0,3.179999999503025e-05,1
branch_and_bound_len,1,0.0,0.0,9.300000002099296e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2800000000368073e-05,2
dinamic_programming,1,0.0,0.0,8.17000000026269e-05,1
branch_and_bound_len,1,0.0,0.0,1.0200000005511356e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.4000000000180535e-05,2
dinamic_programming,1,0.0,0.0,2.940000000251075e-05,1
branch_and_bound_len,1,0.0,0.0,8.599999993919027e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2499999996862243e-05,2
dinamic_programming,1,0.0,0.0,2.5899999997136547e-05,1
branch_and_bound_len,1,0.0,0.0,7.399999994106565e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.170000000172422e-05,2
dinamic_programming,1,0.0,0.0,2.3699999999848842e-05,1
branch_and_bound_len,1,0.0,0.0,7.300000000043383e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.200000000523005e-05,2
dinamic_programming,1,0.0,0.0,3.970000000208529e-05,1
branch_and_bound_len,1,0.0,0.0,7.2000000059802005e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1699999994618793e-05,2
dinamic_programming,1,0.0,0.0,3.850000000227283e-05,1
branch_and_bound_len,1,0.0,0.0,7.000000003642981e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1499999999387e-05,2
dinamic_programming,1,0.0,0.0,2.5699999994799327e-05,1
branch_and_bound_len,1,0.0,0.0,6.900000002474371e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1300000004155208e-05,2
dinamic_programming,1,0.0,0.0,3.829999999993561e-05,1
branch_and_bound_len,1,0.0,0.0,6.900000002474371e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1300000004155208e-05,2
dinamic_programming,1,0.0,0.0,2.4699999997324085e-05,1
branch_and_bound_len,1,0.0,0.0,9.099999999762076e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.3899999999011925e-05,2
dinamic_programming,2,0.0,0.0,4.1899999999372994e-05,1
branch_and_bound_len,2,0.0,0.0,1.0099999997237319e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.679999999737447e-05,3
dinamic_programming,2,0.0,0.0,4.020000000082291e-05,1
branch_and_bound_len,2,0.0,0.0,9.499999997331088e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.639999999980546e-05,3
dinamic_programming,2,0.0,0.0,4.040000000316013e-05,1
branch_and_bound_len,2,0.0,0.0,9.300000002099296e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.660000000214268e-05,3
dinamic_programming,2,0.0,0.0,3.959999999381125e-05,1
branch_and_bound_len,2,0.0,0.0,9.300000002099296e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.629999999863685e-05,3
dinamic_programming,2,0.0,0.0,2.5000000000829914e-05,1
branch_and_bound_len,2,0.0,0.0,9.699999999668307e-06,3
branch_and_bound_cnt,2,0.0,0.0,3.1599999999798456e-05,3
dinamic_programming,2,0.0,0.0,5.8099999996841234e-05,1
branch_and_bound_len,2,0.0,0.0,1.2699999999199463e-05,3
branch_and_bound_cnt,2,0.0,0.0,2.250000000003638e-05,3
dinamic_programming,2,0.0,0.0,3.379999999708616e-05,1
branch_and_bound_len,2,0.0,0.0,1.1300000004155208e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.71000000008803e-05,3
dinamic_programming,2,0.0,0.0,4.080000000072914e-05,1
branch_and_bound_len,2,0.0,0.0,9.399999996162478e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.629999999863685e-05,3
dinamic_programming,2,0.0,0.0,3.999999999848569e-05,1
branch_and_bound_len,2,0.0,0.0,9.099999999762076e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.629999999863685e-05,3
dinamic_programming,2,0.0,0.0,2.5499999999567535e-05,1
branch_and_bound_len,2,0.0,0.0,9.000000005698894e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.609999999629963e-05,3
dinamic_programming,3,0.0,0.0,4.2399999998110616e-05,1
branch_and_bound_len,3,0.0,0.0,1.1999999998124622e-05,4
branch_and_bound_cnt,3,0.0,0.0009617805480957031,2.229999999769916e-05,4
dinamic_programming,3,0.0,0.0,4.140000000063537e-05,1
branch_and_bound_len,3,0.0,0.0,1.1599999993450183e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.0200000001580065e-05,4
dinamic_programming,3,0.0,0.0,2.7800000005129277e-05,1
branch_and_bound_len,3,0.0,0.0,1.1499999999387e-05,4
branch_and_bound_cnt,3,0.0,0.0,3.6199999996711085e-05,4
dinamic_programming,3,0.0,0.0,3.0299999998817384e-05,1
branch_and_bound_len,3,0.0,0.0,1.160000000055561e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.0399999996811857e-05,4
dinamic_programming,3,0.0,0.0,6.429999999824076e-05,1
branch_and_bound_len,3,0.0,0.0,1.4900000003592595e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.0499999997980467e-05,4
dinamic_programming,3,0.0,0.0,2.7100000004054436e-05,1
branch_and_bound_len,3,0.0,0.0,1.180000000289283e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.0200000001580065e-05,4
dinamic_programming,3,0.0,0.0,2.6699999999379997e-05,1
branch_and_bound_len,3,0.0,0.0,1.1400000005323818e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.0399999996811857e-05,4
dinamic_programming,3,0.0,0.0,4.17000000041412e-05,1
branch_and_bound_len,3,0.0,0.0,1.1299999997049781e-05,4
branch_and_bound_cnt,3,0.0,0.0,1.9999999999242846e-05,4
dinamic_programming,3,0.0,0.0,4.1099999997129544e-05,1
branch_and_bound_len,3,0.0,0.0,1.1200000002986599e-05,4
branch_and_bound_cnt,3,0.0,0.0,1.9399999999336615e-05,4
dinamic_programming,3,0.0,0.0,3.989999999731708e-05,1
branch_and_bound_len,3,0.0,0.0,1.2400000002799061e-05,4
branch_and_bound_cnt,3,0.0,0.0,3.6800000003722744e-05,4
dinamic_programming,4,0.0,0.0,5.709999999936599e-05,1
branch_and_bound_len,4,0.0,0.0,1.6300000005742277e-05,5
