algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,1.0,0.0,6.919999999865922e-05,1
branch_and_bound_len,1,1.0,0.0,1.599999999513102e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.780000000195514e-05,6
dinamic_programming,1,1.0,0.0,7.229999999935899e-05,1
branch_and_bound_len,1,1.0,0.0,2.709999999694901e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.650000000097407e-05,6
dinamic_programming,1,0.0,0.0,7.289999999926522e-05,1
branch_and_bound_len,1,0.0,0.0,7.799999998781004e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.180000000289283e-05,2
dinamic_programming,1,1.0,0.0,0.0001353999999977873,1
branch_and_bound_len,1,1.0,0.0,2.6599999998211388e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.539999999522479e-05,6
dinamic_programming,1,1.0,0.0,0.00010670000000345681,1
branch_and_bound_len,1,1.0,0.0,1.4600000000086766e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.539999999522479e-05,6
dinamic_programming,1,1.0,0.0,7.229999999935899e-05,1
branch_and_bound_len,1,1.0,0.0009088516235351562,1.5900000001067838e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.54999999963934e-05,6
dinamic_programming,1,1.0,0.0,9.590000000514465e-05,1
branch_and_bound_len,1,1.0,0.0,1.4800000002423985e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.780000000195514e-05,6
dinamic_programming,1,1.0,0.0,6.110000000347782e-05,1
branch_and_bound_len,1,1.0,0.0,1.529999999405618e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.629999999863685e-05,6
dinamic_programming,1,1.0,0.0009970664978027344,0.0001277000000001749,1
branch_and_bound_len,1,1.0,0.0,1.559999999756201e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.7999999997186933e-05,6
dinamic_programming,1,1.0,0.0,0.00010400000000032605,1
branch_and_bound_len,1,1.0,0.0,1.3899999999011925e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.639999999980546e-05,6
dinamic_programming,2,2.0,0.0,7.740000000211467e-05,1
branch_and_bound_len,2,2.0,0.0,2.9800000000079763e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.5299999997230316e-05,9
dinamic_programming,2,2.0,0.0,8.640000000070813e-05,1
branch_and_bound_len,2,2.0,0.0,2.8500000006204118e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.4999999993724487e-05,9
dinamic_programming,2,2.0,0.0,0.00011500000000097543,1
branch_and_bound_len,2,2.0,0.0,2.849999999909869e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.4199999998586463e-05,9
dinamic_programming,2,2.0,0.0,9.589999999803922e-05,1
branch_and_bound_len,2,2.0,0.0,2.779999999802385e-05,19
branch_and_bound_cnt,2,2.0,0.0,3.0199999997648774e-05,11
dinamic_programming,2,2.0,0.0,0.0001125000000001819,1
branch_and_bound_len,2,2.0,0.0,2.7600000002792058e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.4400000000923683e-05,9
dinamic_programming,2,2.0,0.0,0.00011369999999999436,1
branch_and_bound_len,2,2.0,0.0,2.820000000269829e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.4799999998492694e-05,9
dinamic_programming,2,2.0,0.0,0.00011270000000251912,1
branch_and_bound_len,2,2.0,0.0,2.729999999928623e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.410000000452328e-05,9
dinamic_programming,2,2.0,0.0,0.00011400000000350019,1
branch_and_bound_len,2,2.0,0.0,2.779999999802385e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.3999999996249244e-05,9
dinamic_programming,2,2.0,0.0,0.0001125000000001819,1
branch_and_bound_len,2,2.0,0.0,2.729999999928623e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.4299999999755073e-05,9
dinamic_programming,2,2.0,0.0,8.549999999729607e-05,1
branch_and_bound_len,2,2.0,0.0,3.379999999708616e-05,19
branch_and_bound_cnt,2,2.0,0.0,4.5999999997548e-05,11
dinamic_programming,3,3.0,0.0,0.0001509999999953493,1
branch_and_bound_len,3,3.0,0.0,8.300000000360797e-05,56
branch_and_bound_cnt,3,3.0,0.0,6.189999999861584e-05,22
dinamic_programming,3,3.0,0.0,0.00015539999999703014,1
branch_and_bound_len,3,3.0,0.0,9.590000000514465e-05,56
branch_and_bound_cnt,3,3.0,0.0,3.8100000004703816e-05,12
dinamic_programming,3,3.0,0.0009906291961669922,0.00011650000000429372,1
branch_and_bound_len,3,3.0,0.0,9.090000000355758e-05,56
branch_and_bound_cnt,3,3.0,0.0,3.419999999465517e-05,12
dinamic_programming,3,3.0,0.0,0.00013410000000391165,1
branch_and_bound_len,3,3.0,0.0,8.619999999837091e-05,56
branch_and_bound_cnt,3,3.0,0.0,3.370000000302298e-05,12
dinamic_programming,3,2.0,0.0,0.0001445000000046548,1
branch_and_bound_len,3,2.0,0.0,4.6999999995023245e-05,26
branch_and_bound_cnt,3,2.0,0.0,3.0500000001154604e-05,10
dinamic_programming,3,3.0,0.0,0.00011299999999891952,1
branch_and_bound_len,3,3.0,0.0,0.00010449999999906368,56
