algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,0,0.0,3.0299999991711957e-05,1
branch_and_bound_len,1,0,0.0,9.199999993825259e-06,2
branch_and_bound_cnt,1,0,0.0,2.579999998886251e-05,2
dinamic_programming,1,0,0.0,2.3699999999848842e-05,1
branch_and_bound_len,1,0,0.0,2.500000000793534e-05,2
branch_and_bound_cnt,1,0,0.0,1.1299999997049781e-05,2
dinamic_programming,1,0,0.0,4.2100000001710214e-05,1
branch_and_bound_len,1,0,0.0,6.999999996537554e-06,2
branch_and_bound_cnt,1,0,0.0,1.1599999993450183e-05,2
dinamic_programming,1,0,0.0,4.179999999109896e-05,1
branch_and_bound_len,1,0,0.0,6.900000002474371e-06,2
branch_and_bound_cnt,1,0,0.0,1.1099999994712562e-05,2
dinamic_programming,1,0,0.0,2.2599999994099562e-05,1
branch_and_bound_len,1,0,0.0,6.800000008411189e-06,2
branch_and_bound_cnt,1,0,0.0,1.100000000064938e-05,2
dinamic_programming,1,0,0.0,2.1000000003823516e-05,1
branch_and_bound_len,1,0,0.0,6.999999996537554e-06,2
branch_and_bound_cnt,1,0,0.0,1.1399999991112963e-05,2
dinamic_programming,1,0,0.0009987354278564453,3.1599999999798456e-05,1
branch_and_bound_len,1,0,0.0,8.79999998915082e-06,2
branch_and_bound_cnt,1,0,0.0,1.5300000001161607e-05,2
dinamic_programming,1,0,0.0,2.669999999227457e-05,1
branch_and_bound_len,1,0,0.0,7.999999994012796e-06,2
branch_and_bound_cnt,1,0,0.0,1.1599999993450183e-05,2
dinamic_programming,1,0,0.0,2.390000000218606e-05,1
branch_and_bound_len,1,0,0.0,6.700000000137152e-06,2
branch_and_bound_cnt,1,0,0.0,2.8600000007372728e-05,2
dinamic_programming,1,0,0.0010242462158203125,6.540000001109547e-05,1
branch_and_bound_len,1,0,0.0,8.399999998687235e-06,2
branch_and_bound_cnt,1,0,0.0,1.2200000000461841e-05,2
dinamic_programming,2,0,0.0,4.780000000437212e-05,1
branch_and_bound_len,2,0,0.0,1.0000000003174137e-05,3
branch_and_bound_cnt,2,0,0.0,1.7099999993774873e-05,3
dinamic_programming,2,0,0.0,2.529999999012489e-05,1
branch_and_bound_len,2,0,0.0,1.0199999991300501e-05,3
branch_and_bound_cnt,2,0,0.0,1.7300000010322947e-05,3
dinamic_programming,2,0,0.0,4.090000000189775e-05,1
branch_and_bound_len,2,0,0.0,0.00016859999999496722,3
branch_and_bound_cnt,2,0,0.0,1.5500000003498826e-05,3
dinamic_programming,2,0,0.0,7.100000000548334e-05,1
branch_and_bound_len,2,0,0.0,9.500000004436515e-06,3
branch_and_bound_cnt,2,0,0.0,1.609999999629963e-05,3
dinamic_programming,2,0,0.0,2.5500000006672963e-05,1
branch_and_bound_len,2,0,0.0,1.1099999994712562e-05,3
branch_and_bound_cnt,2,0,0.0,1.589999999396241e-05,3
dinamic_programming,2,0,0.0,2.2899999990499964e-05,1
branch_and_bound_len,2,0,0.0,1.0100000011448174e-05,3
branch_and_bound_cnt,2,0,0.0,1.549999998928797e-05,3
dinamic_programming,2,0,0.0,2.2399999991762343e-05,1
branch_and_bound_len,2,0,0.0,2.189999999302472e-05,3
branch_and_bound_cnt,2,0,0.0,1.559999999756201e-05,3
dinamic_programming,2,0,0.0,3.700000000605996e-05,1
branch_and_bound_len,2,0,0.0,1.0200000005511356e-05,3
branch_and_bound_cnt,2,0,0.0,1.5000000004761205e-05,3
dinamic_programming,2,0,0.0,2.360000000578566e-05,1
branch_and_bound_len,2,0,0.0,1.0200000005511356e-05,3
branch_and_bound_cnt,2,0,0.0,1.5500000003498826e-05,3
dinamic_programming,2,0,0.0,2.6400000010085023e-05,1
branch_and_bound_len,2,0,0.0,1.1499999999387e-05,3
branch_and_bound_cnt,2,0,0.0,1.8900000000598993e-05,3
dinamic_programming,3,0,0.0,3.210000001274693e-05,1
branch_and_bound_len,3,0,0.0,3.1599999999798456e-05,4
branch_and_bound_cnt,3,0,0.0,2.1099999997886698e-05,4
dinamic_programming,3,0,0.0,2.890000000377313e-05,1
branch_and_bound_len,3,0,0.0,1.2399999988588206e-05,4
branch_and_bound_cnt,3,0,0.0,2.1699999990687502e-05,4
dinamic_programming,3,0,0.0,3.999999999848569e-05,1
branch_and_bound_len,3,0,0.0,3.190000001040971e-05,4
branch_and_bound_cnt,3,0,0.0,2.13999999942871e-05,4
dinamic_programming,3,0,0.0,3.0399999999985994e-05,1
branch_and_bound_len,3,0,0.0,1.2699999999199463e-05,4
branch_and_bound_cnt,3,0,0.0,2.179999999896154e-05,4
dinamic_programming,3,0,0.0,2.6600000012422242e-05,1
branch_and_bound_len,3,0,0.0,1.2200000000461841e-05,4
branch_and_bound_cnt,3,0,0.0,2.2800000010647636e-05,4
dinamic_programming,3,0,0.0,2.649999998993735e-05,1
branch_and_bound_len,3,0,0.0,1.2399999988588206e-05,4
branch_and_bound_cnt,3,0,0.0,2.1099999997886698e-05,4
dinamic_programming,3,0,0.0,2.5800000003073364e-05,1
branch_and_bound_len,3,0,0.0,1.2100000006398659e-05,4
branch_and_bound_cnt,3,0,0.0,1.9600000001673834e-05,4
dinamic_programming,3,0,0.0,2.5100000001998524e-05,1
branch_and_bound_len,3,0,0.0,1.1599999993450183e-05,4
branch_and_bound_cnt,3,0,0.0,2.200000000129876e-05,4
dinamic_programming,3,0,0.0,2.4699999997324085e-05,1
branch_and_bound_len,3,0,0.0,1.2100000006398659e-05,4
branch_and_bound_cnt,3,0,0.0,2.0399999996811857e-05,4
dinamic_programming,3,0,0.0,2.4800000005598122e-05,1
branch_and_bound_len,3,0,0.0,1.1099999994712562e-05,4
branch_and_bound_cnt,3,0,0.0,2.1400000008497955e-05,4
dinamic_programming,4,0,0.0,2.6099999999473766e-05,1
branch_and_bound_len,4,0,0.0,1.4499999991812729e-05,5
branch_and_bound_cnt,4,0,0.0,2.5699999994799327e-05,5
dinamic_programming,4,0,0.0,2.5800000003073364e-05,1
branch_and_bound_len,4,0,0.0,1.4000000007285962e-05,5
branch_and_bound_cnt,4,0,0.0,2.6000000005410584e-05,5
dinamic_programming,4,0,0.0009970664978027344,6.640000000857071e-05,1
branch_and_bound_len,4,0,0.0,1.4500000006023583e-05,5
branch_and_bound_cnt,4,0,0.0,5.1799999994273094e-05,5
dinamic_programming,4,0,0.0,3.8000000003535206e-05,1
branch_and_bound_len,4,0,0.0,2.0200000008685493e-05,5
branch_and_bound_cnt,4,0,0.0,2.6700000006485425e-05,5
dinamic_programming,4,0,0.0,3.309999999601132e-05,1
branch_and_bound_len,4,0,0.0,1.589999999396241e-05,5
branch_and_bound_cnt,4,0,0.0,2.579999998886251e-05,5
dinamic_programming,4,0,0.0,2.6500000004148205e-05,1
branch_and_bound_len,4,0,0.0,1.5400000009435644e-05,5
branch_and_bound_cnt,4,0,0.0,2.5399999998398926e-05,5
dinamic_programming,4,0,0.0,2.5500000006672963e-05,1
branch_and_bound_len,4,0,0.0,1.3899999999011925e-05,5
branch_and_bound_cnt,4,0,0.0,2.4599999989050048e-05,5
dinamic_programming,4,0,0.0,2.849999999909869e-05,1
branch_and_bound_len,4,0,0.0,3.28999999936741e-05,5
branch_and_bound_cnt,4,0,0.0,2.7200000005223046e-05,5
dinamic_programming,4,0,0.0,5.72000000005346e-05,1
branch_and_bound_len,4,0,0.0,1.4800000002423985e-05,5
branch_and_bound_cnt,4,0,0.0,2.7000000002885827e-05,5
dinamic_programming,4,0,0.0,2.5800000003073364e-05,1
branch_and_bound_len,4,0,0.0,1.5900000008173265e-05,5
branch_and_bound_cnt,4,0,0.0,2.6300000001810986e-05,5
dinamic_programming,5,0,0.0,4.889999999591055e-05,1
branch_and_bound_len,5,0,0.0,1.7399999990175274e-05,6
branch_and_bound_cnt,5,0,0.0,2.739999999334941e-05,6
dinamic_programming,5,0,0.0,2.7200000005223046e-05,1
branch_and_bound_len,5,0,0.0,1.699999999971169e-05,6
branch_and_bound_cnt,5,0,0.0,3.0099999989374737e-05,6
dinamic_programming,5,0,0.0,2.649999998993735e-05,1
branch_and_bound_len,5,0,0.0,1.749999999844931e-05,6
branch_and_bound_cnt,5,0,0.0,2.8899999989562275e-05,6
dinamic_programming,5,0,0.0,2.6200000007747803e-05,1
branch_and_bound_len,5,0,0.0010263919830322266,1.8900000000598993e-05,6
branch_and_bound_cnt,5,0,0.0,2.9299999994236714e-05,6
dinamic_programming,5,0,0.0,2.9299999994236714e-05,1
branch_and_bound_len,5,0,0.0,1.6199999990362812e-05,6
branch_and_bound_cnt,5,0,0.0,2.840000000503551e-05,6
dinamic_programming,5,0,0.0,2.7000000002885827e-05,1
branch_and_bound_len,5,0,0.0,1.589999999396241e-05,6
branch_and_bound_cnt,5,0,0.0,2.8799999995499093e-05,6
dinamic_programming,5,0,0.0,4.110000000423497e-05,1
branch_and_bound_len,5,0,0.0,3.300000000194814e-05,6
branch_and_bound_cnt,5,0,0.0,3.320000000428536e-05,6
dinamic_programming,5,0,0.0,6.240000000445889e-05,1
branch_and_bound_len,5,0,0.0,2.1099999997886698e-05,6
branch_and_bound_cnt,5,0,0.0,5.640000000539658e-05,6
dinamic_programming,5,0,0.0,5.629999999712254e-05,1
branch_and_bound_len,5,0,0.0,2.0599999999149077e-05,6
branch_and_bound_cnt,5,0,0.0,3.0899999998723615e-05,6
dinamic_programming,5,0,0.0,3.559999998969943e-05,1
branch_and_bound_len,5,0,0.0,1.8900000000598993e-05,6
branch_and_bound_cnt,5,0,0.0,3.1800000002135675e-05,6
dinamic_programming,6,0,0.0,3.119999999512402e-05,1
branch_and_bound_len,6,0,0.0,1.990000001228509e-05,7
branch_and_bound_cnt,6,0,0.0,3.510000000517266e-05,7
dinamic_programming,6,0,0.0,6.150000000104683e-05,1
branch_and_bound_len,6,0,0.0,1.830000000779819e-05,7
branch_and_bound_cnt,6,0,0.0,3.1100000001060835e-05,7
dinamic_programming,6,0,0.0,2.7700000003960668e-05,1
branch_and_bound_len,6,0,0.0,1.7999999997186933e-05,7
branch_and_bound_cnt,6,0,0.0,3.0399999999985994e-05,7
dinamic_programming,6,0,0.0006189346313476562,4.819999999483571e-05,1
branch_and_bound_len,6,0,0.0,1.9899999998074236e-05,7
branch_and_bound_cnt,6,0,0.0,3.120000000933487e-05,7
dinamic_programming,6,0,0.0,2.940000000251075e-05,1
branch_and_bound_len,6,0,0.0,1.830000000779819e-05,7
branch_and_bound_cnt,6,0,0.0,2.9500000010784788e-05,7
dinamic_programming,6,0,0.0,4.2600000000447835e-05,1
branch_and_bound_len,6,0,0.0,1.900000000887303e-05,7
branch_and_bound_cnt,6,0,0.0,3.0699999996386396e-05,7
dinamic_programming,6,0,0.0,3.080000000466043e-05,1
branch_and_bound_len,6,0,0.0,1.6400000006910886e-05,7
branch_and_bound_cnt,6,0,0.0,2.8999999997836312e-05,7
dinamic_programming,6,0,0.0,3.440000000409782e-05,1
branch_and_bound_len,6,0,0.0,1.6100000010510485e-05,7
branch_and_bound_cnt,6,0,0.0,2.849999999909869e-05,7
dinamic_programming,6,0,0.0,3.100000000699765e-05,1
branch_and_bound_len,6,0,0.0,1.8400000001861372e-05,7
branch_and_bound_cnt,6,0,0.0,3.7100000000123146e-05,7
dinamic_programming,6,0,0.0,6.049999998936073e-05,1
branch_and_bound_len,6,0,0.0,1.830000000779819e-05,7
branch_and_bound_cnt,6,0,0.0,3.329999999834854e-05,7
dinamic_programming,7,0,0.0,5.969999999422271e-05,1
branch_and_bound_len,7,0,0.0,2.5100000001998524e-05,8
branch_and_bound_cnt,7,0,0.0,3.739999999652355e-05,8
dinamic_programming,7,0,0.0,6.280000000913333e-05,1
branch_and_bound_len,7,0,0.0,2.0599999999149077e-05,8
branch_and_bound_cnt,7,0,0.0,3.749999999058673e-05,8
dinamic_programming,7,0,0.0,3.2700000005547736e-05,1
branch_and_bound_len,7,0,0.0,1.97999999898002e-05,8
branch_and_bound_cnt,7,0,0.0,4.839999999717293e-05,8
dinamic_programming,7,0,0.0,5.029999999806023e-05,1
branch_and_bound_len,7,0,0.0,2.0399999996811857e-05,8
branch_and_bound_cnt,7,0,0.0,3.519999999923584e-05,8
dinamic_programming,7,0,0.0,3.339999999241172e-05,1
branch_and_bound_len,7,0,0.0,4.8300000003109744e-05,8
branch_and_bound_cnt,7,0,0.0,3.9899999990211654e-05,8
dinamic_programming,7,0,0.0,4.400000000259752e-05,1
branch_and_bound_len,7,0,0.0,2.5700000009010182e-05,8
branch_and_bound_cnt,7,0,0.0,4.429999999899792e-05,8
dinamic_programming,7,0,0.0,4.7399999999697684e-05,1
branch_and_bound_len,7,0,0.0,2.0500000005085894e-05,8
branch_and_bound_cnt,7,0,0.0,3.900000000101045e-05,8
dinamic_programming,7,0,0.0,3.1800000002135675e-05,1
branch_and_bound_len,7,0,0.0,2.049999999087504e-05,8
branch_and_bound_cnt,7,0,0.0,3.699999999184911e-05,8
dinamic_programming,7,0,0.0,6.069999999169795e-05,1
branch_and_bound_len,7,0,0.0,1.8499999995924554e-05,8
branch_and_bound_cnt,7,0,0.0,3.810000001180924e-05,8
dinamic_programming,7,0,0.0,3.1399999997461236e-05,1
branch_and_bound_len,7,0,0.0,2.3300000009385258e-05,8
branch_and_bound_cnt,7,0,0.0,3.7700000007134804e-05,8
dinamic_programming,8,0,0.0,5.180000000848395e-05,1
branch_and_bound_len,8,0,0.0,2.2599999994099562e-05,9
branch_and_bound_cnt,8,0,0.0,3.5900000000310683e-05,9
dinamic_programming,8,0,0.0,3.2500000003210516e-05,1
branch_and_bound_len,8,0,0.0,2.200000000129876e-05,9
branch_and_bound_cnt,8,0,0.0,4.130000000657219e-05,9
dinamic_programming,8,0,0.0,3.2700000005547736e-05,1
branch_and_bound_len,8,0,0.0,2.4599999989050048e-05,9
branch_and_bound_cnt,8,0,0.0,4.2399999998110616e-05,9
dinamic_programming,8,0,0.0,5.079999999679785e-05,1
branch_and_bound_len,8,0,0.0,2.189999999302472e-05,9
branch_and_bound_cnt,8,0,0.0,4.090000000189775e-05,9
dinamic_programming,8,0,0.0,5.5000000003246896e-05,1
branch_and_bound_len,8,0,0.0,2.27000000023736e-05,9
branch_and_bound_cnt,8,0,0.0,4.780000000437212e-05,9
dinamic_programming,8,0,0.0,3.600000000858472e-05,1
branch_and_bound_len,8,0,0.0,2.4499999994986865e-05,9
branch_and_bound_cnt,8,0,0.0,4.230000000404743e-05,9
dinamic_programming,8,0,0.000997304916381836,6.65000000026339e-05,1
branch_and_bound_len,8,0,0.0,6.8999999996322e-05,9
branch_and_bound_cnt,8,0,0.000997781753540039,4.7899999998435305e-05,9
dinamic_programming,8,0,0.0,6.880000000819564e-05,1
branch_and_bound_len,8,0,0.0,2.27000000023736e-05,9
branch_and_bound_cnt,8,0,0.0,4.1899999999372994e-05,9
dinamic_programming,8,0,0.0,3.100000000699765e-05,1
branch_and_bound_len,8,0,0.0,2.27000000023736e-05,9
branch_and_bound_cnt,8,0,0.0,3.6399999999048305e-05,9
dinamic_programming,8,0,0.0,3.1300000003398054e-05,1
branch_and_bound_len,8,0,0.0,2.8699999987225056e-05,9
branch_and_bound_cnt,8,0,0.0,3.61000000026479e-05,9
dinamic_programming,9,0,0.0,3.279999999961092e-05,1
branch_and_bound_len,9,0,0.0,2.2100000009572796e-05,10
branch_and_bound_cnt,9,0,0.0,4.500000000007276e-05,10
dinamic_programming,9,0,0.0,0.00015349999999614283,1
branch_and_bound_len,9,0,0.0,2.4699999997324085e-05,10
branch_and_bound_cnt,9,0,0.0,3.959999999381125e-05,10
dinamic_programming,9,0,0.0,3.2600000011484553e-05,1
branch_and_bound_len,9,0,0.0,2.3999999996249244e-05,10
branch_and_bound_cnt,9,0,0.0,4.9200000006521805e-05,10
dinamic_programming,9,0,0.0,3.140000001167209e-05,1
branch_and_bound_len,9,0,0.0,2.390000000218606e-05,10
branch_and_bound_cnt,9,0,0.0,4.6799999992686026e-05,10
dinamic_programming,9,0,0.0,3.0899999998723615e-05,1
branch_and_bound_len,9,0,0.0,2.3699999999848842e-05,10
branch_and_bound_cnt,9,0,0.0,4.6599999990348806e-05,10
dinamic_programming,9,0,0.0,6.510000000048421e-05,1
branch_and_bound_len,9,0,0.0,2.3799999993912024e-05,10
branch_and_bound_cnt,9,0,0.0,4.520000000240998e-05,10
dinamic_programming,9,0,0.0,7.85999999948217e-05,1
branch_and_bound_len,9,0,0.0,2.8099999994424252e-05,10
branch_and_bound_cnt,9,0,0.0009319782257080078,5.2299999993010715e-05,10
dinamic_programming,9,0,0.0,5.230000000722157e-05,1
branch_and_bound_len,9,0,0.0,2.5899999997136547e-05,10
branch_and_bound_cnt,9,0,0.0,4.560000000708442e-05,10
dinamic_programming,9,0,0.0,3.320000000428536e-05,1
branch_and_bound_len,9,0,0.0,2.6800000000548607e-05,10
branch_and_bound_cnt,9,0,0.0,4.389999999432348e-05,10
dinamic_programming,9,0,0.0,5.659999999352294e-05,1
branch_and_bound_len,9,0,0.0,2.6200000007747803e-05,10
branch_and_bound_cnt,9,0,0.0,4.450000000133514e-05,10
dinamic_programming,10,0,0.0,5.110000000740911e-05,1
branch_and_bound_len,10,0,0.0,2.6000000005410584e-05,11
branch_and_bound_cnt,10,0,0.0,4.450000000133514e-05,11
dinamic_programming,10,0,0.0,5.1599999991935874e-05,1
branch_and_bound_len,10,0,0.0,2.3299999995174403e-05,11
branch_and_bound_cnt,10,0,0.0,4.939999999464817e-05,11
dinamic_programming,10,0,0.0,4.9700000005259426e-05,1
branch_and_bound_len,10,0,0.0,2.599999999119973e-05,11
branch_and_bound_cnt,10,0,0.0,4.840000001138378e-05,11
dinamic_programming,10,0,0.0,3.429999999582378e-05,1
branch_and_bound_len,10,0,0.0,2.5899999997136547e-05,11
branch_and_bound_cnt,10,0,0.000997304916381836,0.0001048000000025695,11
dinamic_programming,10,0,0.0,5.079999999679785e-05,1
branch_and_bound_len,10,0,0.0,2.759999999568663e-05,11
branch_and_bound_cnt,10,0,0.0,5.0300000012271084e-05,11
dinamic_programming,10,0,0.0,5.110000000740911e-05,1
branch_and_bound_len,10,0,0.0,2.6099999999473766e-05,11
branch_and_bound_cnt,10,0,0.0,5.039999999212341e-05,11
dinamic_programming,10,0,0.0009925365447998047,3.500000001110948e-05,1
branch_and_bound_len,10,0,0.0,2.6099999999473766e-05,11
branch_and_bound_cnt,10,0,0.0,4.9500000002922206e-05,11
dinamic_programming,10,0,0.0,3.190000001040971e-05,1
branch_and_bound_len,10,0,0.0,2.5399999998398926e-05,11
branch_and_bound_cnt,10,0,0.0,4.9200000006521805e-05,11
dinamic_programming,10,0,0.0,3.1800000002135675e-05,1
branch_and_bound_len,10,0,0.0,2.529999999012489e-05,11
branch_and_bound_cnt,10,0,0.0,4.8100000000772525e-05,11
dinamic_programming,10,0,0.0,4.710000000329728e-05,1
branch_and_bound_len,10,0,0.0,2.709999999694901e-05,11
branch_and_bound_cnt,10,0,0.0,5.810000000394666e-05,11
dinamic_programming,11,0,0.0,5.4099999999834836e-05,1
