string_1,string_2
7,1
7,7
7,4
2,5
6,0
0,6
1,0
2,6
6,3
4,1
34,14
45,71
75,37
04,40
57,02
16,00
70,02
47,17
77,50
12,06
620,442
516,045
542,013
115,455
152,545
226,764
020,717
563,452
477,164
771,337
6656,4722
0675,5544
3055,3514
0267,3242
5034,3436
3521,1104
4623,0351
4102,1664
6660,6756
6732,2237
31423,21327
34756,32310
54410,70540
71626,25521
62140,61572
70754,67242
12663,21074
67177,01673
37265,33676
74642,57572
721752,563407
761333,076144
405622,413404
716665,215132
240006,112371
103677,635141
325125,330251
507565,047553
232631,404527
653545,410733
5645661,3407237
0404102,1767053
5303652,5433325
7361115,1764603
0426530,4522720
5560143,0340404
1444476,4317541
6561723,2223020
5331073,7760210
2563651,6313320
23125557,20227223
32246534,70234637
46240752,46362224
11324227,56472307
34360600,44150707
14422114,24453210
17764643,40454041
33635152,10436646
27363206,10266621
04720354,37301700
445567303,003067373
063222041,556154134
231771047,204644672
414574746,636521675
034417560,134673045
275364056,430122016
444535154,054441642
202055165,104064353
604411152,564313402
250456626,665767206
6400361717,5076632245
3273436524,1374360372
7404436157,4367560303
4205526412,1470556116
1710664171,4327325531
1176111420,7326777742
6613716371,0400267242
4122654061,3672265665
0613444004,3201142664
3417077033,3007765223
45366173045,06622574337
12763501322,73700203541
40242056655,00562540477
03356475130,57030063462
75064007755,02465741317
63101066464,24706114366
51472773013,76215377250
53051764723,62752176274
30506055441,22743573720
70465155061,73006500266
305542053224,405521575561
475427511302,275743301556
420600640027,253672504625
533271222373,034405674550
314422214170,416006104433
676477314467,653342504046
735113573331,403647272317
655417343734,463475377052
610722220521,657221454730
523143076312,445340266664
5236110616364,1047464537577
6510145063236,1333277266500
4062217574165,5463631165602
3021540315711,4102447462313
4371107705330,1467271006126
7215217337650,7662373554374
0057057334030,0062243325600
7302375175057,5110467650054
1526524542120,6771521024531
7064162436166,6604066726466
60773340155306,75333344773456
55170145632771,64163673431256
75555004155743,21223761452013
01123465025424,53660006631160
40764624011374,63771570130443
04430762052252,76704775763323
20635437344111,37024105327335
12472615636422,54713456363560
54215245233253,77607557374673
06660145765703,75365305736041
735045356163473,506177212054733
301635514553560,640056442326354
143532764343561,166722655626733
675273565070641,746164401240451
362172200301515,121567353731704
641377507156233,356342743517564
076233002071374,252121373276027
164147755125462,001132633400717
534223321125310,026045611754451
445172611645670,606271067740675
