string_1,string_2
11100,11101
10010,10011
11000,11010
10100,10000
00000,00010
10111,10111
01101,01101
00001,10001
11111,01111
01100,01000
0110001101,0110111101
1101111100,0101111100
1101111000,0101111100
1001101100,1101101000
0001010011,0001110011
1100110001,1000110011
1010000110,1010001110
0011010100,0011011000
1110100011,0110100011
1010111010,1010111000
001111011000101,001111011000001
000101011001111,000101011001111
001111010100011,001111010100010
100100010110111,100100010100111
000001110001110,000000110001111
011000101011011,011100101010111
100110110011000,100110010111100
111100101000110,011100101000110
101011000110010,101011000110010
101100110100011,101100110100001
00111001000110011111,01111001010110001111
01001001011011100110,01001011010011100110
00100011111100101011,00100011101101101011
10010010111101000001,10010010101101000001
11000101101010011001,11000101001010011001
10100001001111000000,00100001001111000000
10100001011000110111,10100001011001110111
01100001110010111000,01100001110110010000
10111111100011101110,00111111100111101110
10100010100001111010,10110010100101111011
1110110001110000111110110,1110110001110000011110110
1011101110001110100101010,1011101111001110100101010
0011010001100011001110010,0001010001100010001110010
1100111111100001111111111,1100110111100001111111111
0010101001010110001011001,0000101001010100001011001
1001001111000100110010111,0001001111000100110000111
0000101101000010101111101,0000101101010000101111101
1011001000000000101111111,1011001000010000100101111
0001110000110011111011101,1101110000110011111111101
0011001110100110110101111,0011001110100110110101110
011000100010011011111100101110,010000100010011011111100101110
001001010100101000111000100011,001001011100101000111001100011
000001101010100111101110001000,100001101110101111101110001000
111001011000010110111110010001,111001011000010100111100010001
101011011000001000011111101101,101011011000001000011111101011
011001110011100101101000100000,011001111001000101101000100100
100111100111111000011001100100,100111100101111000011001101100
000100111101001010011000110010,100110111101011010011000110010
000010011110111010110100110010,000000001110111010110101110010
000100110010101010100110001011,001110110010101010000110001011
11010010011100011000111000110001000,11010010011100011001111000010001000
11010010101101111010001000000010100,11011010101100111010001000000000111
10011101111100110001011100100100001,10011101110100110001011100100101001
11011101100100111111101011101101110,11111101100100111111101010101101110
10000010100001110110000011011011111,10000000100001110110000001011011101
10001010111110101100100111111000001,10111010111010101100110111111000011
11011100110011111011001010111101000,11011100010011111011000011101101000
11000011100110101101011111100001110,11000011100110001111011111100001110
01111011000110001111001001101001010,00111111000110011111000001101001110
00100100000110110010001010100011000,00110100000110110110001010100011000
1001011010100010101001111101111101010011,1001011010100010101011111101111101110011
1111110001100010111111010010000100111111,1111110001100010101111010010000100111101
1101011000000101001000011001000010010011,1101011000000100001101010001000111010011
1110111000101110110010110110111001011011,1110111101101110110110110110111101011011
0000010110011010011011001100100100011001,0100010110011010011010001100100101011001
1111000011000000001010011111101110110010,1111000011001010001010011110101110110010
1111010111100001111101011001110001110001,1111010111101010011101011001110001110001
1001010011100010011101011101000110111000,1001010111100010011101011101000110111001
0110001010100001001010110110100111011101,1110001010100001001000110110100111011101
1111100110111101110110100001100110010111,0111101111101101110110100001100110000101
001111000011001001110010101101110111100010111,001111000011011001110010011100110111100010111
001011110000000001011110100100000100000100010,001011110100000001011110110101001100000110000
001001110111101110001011111101001000100000111,001011110111100110001011111101001001111100111
010100010110001000011110001111100000000010010,011100010111001000011010001111100000001010010
110111110111110000111111110000000111101111101,110111010111110000111111111000010111101101101
000110011111001101001011101111010011111000111,000110011011001101001011001110110011111000111
110011111101011101111101100101010110000100111,010111111101011001111101100101010101100101111
010000110111101110010001000110111010101100100,010010010101101110000001000110110010101100100
001111010110111111111000010001101110100001000,001111000110011100111010010001101010100001000
101000010100011101001000001100001001100111010,101000010100001101001001001110001001100111111
11100001010110110111000001010100000110111101110100,11100001010110100111000101000100000100111101110100
11101111101110110000001001010000010010101010110110,11101110101110010000001000110010010010101010110010
01100011001110110000010000100111010110011111011100,01100011001110110000010000100110010111011111011100
00111000000000010000111111111011011011111111000001,00010000000000010000111111111111011011111011100001
10101010010011110010101010100100100000101000100000,10101010010011110010101010100101101001101000100000
11010011001111111101000100011000101100010101001110,11010011001111111101000100011000111100010101110110
11111111010110000101000101000001001110011111111101,11111111010000001101100101000001001110001110101101
10110101001010001001010001111010110011011110110000,10110001001111001001010001111000110011011100110000
10011000111110001000110111011001100010010101010111,10011100111110001000111111011001100010010101010111
10100010101011100010011010101000100111101101010000,10100010101011100011011011101110101101101100011000
0101010110100100100011001001000000111100100100110101110,0001010111000100100111001000000000111100100101110101110
0010011111011001001011111110011111011010110001010010111,0011001111011001001011111100011111011010110001010010111
0011000111101010001111000010000001110100100110101110100,0011000111011010001111100010000111110100100110001110100
0010110110101101110001001010011100111110010001100111010,0010110110001101110001101010011101111110010001100111110
1000010100110010011101100000110110000011011100011100111,1001010100110010011111100000110110000110011100110100111
0001110000101000101111011001011001001101100111111000001,0001110100101000101101010001011001101111100111111010001
0100001110000100010111010000110010110011111110001110000,0110001111000100000111010000110010110011110110000100000
0101101011010010001100100111101000001000001010001110010,0001001001000010001100100111101000001000001010001110011
