algorithm,len,ed,time,clock_time,calls
greedy_approach,153,135.0,0.020376920700073242,0.0202732,1
divide_and_conquer,153,122.0,0.08466339111328125,0.0846594,1
dinamic_programming,153,122.0,0.03413033485412598,0.03403140000000002,1
dinamic_programming_2,153,122.0,0.06709432601928711,0.06718080000000001,1
greedy_approach,153,130.0,0.01918935775756836,0.018518900000000005,1
divide_and_conquer,153,104.0,0.07369422912597656,0.07317290000000001,1
dinamic_programming,153,104.0,0.03427314758300781,0.03494069999999999,1
dinamic_programming_2,153,104.0,0.07919454574584961,0.07941119999999996,1
greedy_approach,178,163.0,0.1652681827545166,0.1649598,1
divide_and_conquer,178,142.0,0.08583474159240723,0.08583490000000005,1
dinamic_programming,178,142.0,0.04236912727355957,0.04232400000000003,1
dinamic_programming_2,178,142.0,0.08474469184875488,0.08472639999999998,1
greedy_approach,173,153.0,0.10738229751586914,0.10758299999999998,1
divide_and_conquer,173,133.0,0.08835339546203613,0.08775049999999995,1
dinamic_programming,173,133.0,0.04185152053833008,0.041078700000000024,1
dinamic_programming_2,173,133.0,0.06781888008117676,0.06767330000000005,1
greedy_approach,160,142.0,0.03542065620422363,0.035016099999999994,1
divide_and_conquer,160,127.0,0.10433411598205566,0.10361639999999994,1
dinamic_programming,160,127.0,0.03620767593383789,0.03609960000000001,1
dinamic_programming_2,160,127.0,0.06345701217651367,0.06317259999999991,1
greedy_approach,153,138.0,0.15885138511657715,0.15886129999999987,1
divide_and_conquer,153,121.0,0.05884218215942383,0.059579099999999885,1
dinamic_programming,153,121.0,0.03123617172241211,0.030701700000000054,1
dinamic_programming_2,153,121.0,0.054314613342285156,0.0537995,1
greedy_approach,153,125.0,0.05623507499694824,0.056678100000000065,1
divide_and_conquer,153,107.0,0.05636453628540039,0.057006699999999855,1
dinamic_programming,153,107.0,0.03222060203552246,0.0318989999999999,1
dinamic_programming_2,153,107.0,0.05217242240905762,0.05147769999999996,1
greedy_approach,153,129.0,0.042885541915893555,0.043708700000000045,1
divide_and_conquer,153,112.0,0.05485200881958008,0.05443189999999998,1
dinamic_programming,153,112.0,0.029921531677246094,0.029919099999999865,1
dinamic_programming_2,153,112.0,0.052858829498291016,0.052661599999999975,1
greedy_approach,153,132.0,0.02792525291442871,0.02750869999999983,1
divide_and_conquer,153,108.0,0.056015729904174805,0.05595600000000012,1
dinamic_programming,153,108.0,0.02792525291442871,0.02875720000000026,1
dinamic_programming_2,153,108.0,0.05435752868652344,0.055114099999999944,1
greedy_approach,153,143.0,0.0009975433349609375,0.0013079000000000285,1
divide_and_conquer,153,131.0,0.06249094009399414,0.06271420000000028,1
dinamic_programming,153,131.0,0.04225349426269531,0.042200799999999816,1
dinamic_programming_2,153,131.0,0.059677839279174805,0.059532200000000035,1
