algorithm,len,ed,time,clock_time,calls
divide_and_conquer,1,0.0,0.0,1.49e-05,1
dinamic_programming,1,0.0,0.0,5.35e-05,1
dinamic_programming_2,1,0.0,0.0,9.709999999999992e-05,1
greedy_approach,1,0.0,0.0,6.090000000000002e-05,1
branch_and_bound_len,1,0.0,0.0,1.330000000000016e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.8099999999999627e-05,2
pure_recursion,1,0.0,0.0,1.0400000000000253e-05,1
divide_and_conquer,1,0.0,0.0,4.600000000000003e-06,1
dinamic_programming,1,0.0,0.0,3.909999999999981e-05,1
dinamic_programming_2,1,0.0,0.0,9.139999999999973e-05,1
greedy_approach,1,0.0,0.0,4.1600000000000144e-05,1
branch_and_bound_len,1,0.0,0.0,8.79999999999978e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.4699999999999436e-05,2
pure_recursion,1,0.0,0.0,7.999999999999327e-06,1
divide_and_conquer,1,0.0,0.0,4.800000000000117e-06,1
dinamic_programming,1,0.0,0.0,2.5599999999999755e-05,1
dinamic_programming_2,1,0.0,0.0,5.780000000000021e-05,1
greedy_approach,1,0.0,0.0,3.9499999999999605e-05,1
branch_and_bound_len,1,0.0,0.0,9.999999999999593e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2599999999999764e-05,2
pure_recursion,1,0.0,0.0,7.700000000000241e-06,1
divide_and_conquer,1,0.0,0.0,4.699999999999843e-06,1
dinamic_programming,1,0.0,0.0,3.2600000000000684e-05,1
dinamic_programming_2,1,0.0,0.0,7.850000000000044e-05,1
greedy_approach,1,0.0,0.0,5.349999999999973e-05,1
branch_and_bound_len,1,0.0,0.0,1.020000000000014e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.7399999999999013e-05,2
pure_recursion,1,0.0,0.0,9.000000000000327e-06,1
divide_and_conquer,1,0.0,0.0,4.299999999998749e-06,1
dinamic_programming,1,0.0,0.0,2.4699999999999028e-05,1
dinamic_programming_2,1,0.0,0.0,5.5499999999999994e-05,1
greedy_approach,1,0.0,0.0,7.300000000000015e-05,1
branch_and_bound_len,1,0.0,0.0,1.0600000000001233e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.6800000000000842e-05,2
pure_recursion,1,0.0,0.0,9.200000000000874e-06,1
divide_and_conquer,1,0.0,0.0,5.40000000000089e-06,1
dinamic_programming,1,0.0,0.0,4.0100000000001246e-05,1
dinamic_programming_2,1,0.0,0.0,8.640000000000037e-05,1
greedy_approach,1,0.0,0.0,5.5499999999999994e-05,1
branch_and_bound_len,1,0.0,0.0,1.1000000000000593e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.66999999999997e-05,2
pure_recursion,1,0.0,0.0,9.80000000000078e-06,1
divide_and_conquer,1,0.0,0.0,5.200000000000343e-06,1
dinamic_programming,1,0.0,0.0,3.4800000000001496e-05,1
dinamic_programming_2,1,0.0,0.0,7.810000000000109e-05,1
greedy_approach,1,0.0,0.0009965896606445312,5.6199999999999306e-05,1
branch_and_bound_len,1,0.0,0.0,1.0500000000000093e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.5500000000001624e-05,2
pure_recursion,1,0.0,0.0,8.900000000002656e-06,1
divide_and_conquer,1,0.0,0.0,4.400000000001625e-06,1
dinamic_programming,1,0.0,0.0,3.150000000000028e-05,1
dinamic_programming_2,1,0.0,0.0,9.04000000000009e-05,1
greedy_approach,1,0.0,0.0,5.250000000000046e-05,1
