algorithm,len,ed,time,clock_time,calls
divide_and_conquer,1,1.0,0.0,4.600000011123484e-06,1
dinamic_programming,1,1.0,0.0,8.850000000393266e-05,1
dinamic_programming_2,1,1.0,0.0,6.930000000693326e-05,1
greedy_approach,1,1.0,0.0,4.03000000233078e-05,1
branch_and_bound_len,1,1.0,0.0,1.5099999984613532e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.8399999987650517e-05,6
pure_recursion,1,1.0,0.0,8.39999998447638e-06,1
divide_and_conquer,1,1.0,0.0,5.7999999967250915e-06,1
dinamic_programming,1,1.0,0.0,5.469999999263564e-05,1
dinamic_programming_2,1,1.0,0.0,6.0200000007171184e-05,1
greedy_approach,1,1.0,0.0,3.9100000009284486e-05,1
branch_and_bound_len,1,1.0,0.0,1.3899999999011925e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.7500000012660166e-05,6
pure_recursion,1,1.0,0.0,7.600000003549212e-06,1
divide_and_conquer,1,1.0,0.0,5.29999999798747e-06,1
dinamic_programming,1,1.0,0.0,6.500000000642103e-05,1
dinamic_programming_2,1,1.0,0.0,6.210000000805849e-05,1
greedy_approach,1,1.0,0.0,3.970000000208529e-05,1
branch_and_bound_len,1,1.0,0.0,1.4300000003686364e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.760000000672335e-05,6
pure_recursion,1,1.0,0.0,7.600000003549212e-06,1
divide_and_conquer,1,1.0,0.0,4.799999999249849e-06,1
dinamic_programming,1,1.0,0.0,5.439999998202438e-05,1
dinamic_programming_2,1,1.0,0.0,6.0200000007171184e-05,1
greedy_approach,1,1.0,0.00099945068359375,5.6299999982911686e-05,1
branch_and_bound_len,1,1.0,0.0,1.3300000006211121e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.6900000019859363e-05,6
pure_recursion,1,1.0,0.0,7.199999998874773e-06,1
divide_and_conquer,1,1.0,0.0,3.999999989900971e-06,1
dinamic_programming,1,1.0,0.0,7.170000000655818e-05,1
dinamic_programming_2,1,1.0,0.0,9.08000000094944e-05,1
greedy_approach,1,1.0,0.0,5.740000000287182e-05,1
branch_and_bound_len,1,1.0,0.0,1.8900000014809848e-05,6
branch_and_bound_cnt,1,1.0,0.0,2.3700000014059697e-05,6
pure_recursion,1,1.0,0.0,8.800000017572529e-06,1
divide_and_conquer,1,1.0,0.0,4.500000017060302e-06,1
dinamic_programming,1,1.0,0.0,7.109999998533567e-05,1
dinamic_programming_2,1,1.0,0.0,8.389999999280917e-05,1
greedy_approach,1,1.0,0.0,6.179999999744723e-05,1
branch_and_bound_len,1,1.0,0.0,1.8199999999524152e-05,6
branch_and_bound_cnt,1,1.0,0.0,2.419999998437561e-05,6
pure_recursion,1,1.0,0.0,8.79999998915082e-06,1
divide_and_conquer,1,1.0,0.0,4.300000000512227e-06,1
dinamic_programming,1,1.0,0.0,5.5000000003246896e-05,1
dinamic_programming_2,1,1.0,0.0,5.989999999655993e-05,1
greedy_approach,1,1.0,0.0,4.0399999988949276e-05,1
branch_and_bound_len,1,1.0,0.0,1.3999999993075107e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.720000000204891e-05,6
pure_recursion,1,1.0,0.0,7.100000004811591e-06,1
divide_and_conquer,1,1.0,0.0,4.400000022997119e-06,1
dinamic_programming,1,1.0,0.0009975433349609375,8.139999999912106e-05,1
dinamic_programming_2,1,1.0,0.0,8.49999999843476e-05,1
greedy_approach,1,1.0,0.0,5.4099999999834836e-05,1
branch_and_bound_len,1,1.0,0.0,1.8699999998261774e-05,6
branch_and_bound_cnt,1,1.0,0.0,2.43000000068605e-05,6
pure_recursion,1,1.0,0.0,7.49999998106432e-06,1
divide_and_conquer,1,1.0,0.0,4.600000011123484e-06,1
dinamic_programming,1,1.0,0.0,8.320000000594518e-05,1
dinamic_programming_2,1,1.0,0.0,8.900000000267028e-05,1
greedy_approach,1,1.0,0.0,5.4500000004509275e-05,1
branch_and_bound_len,1,1.0,0.0,2.0500000005085894e-05,6
branch_and_bound_cnt,1,1.0,0.0,2.700000001709668e-05,6
pure_recursion,1,1.0,0.0,1.1499999999387e-05,1
divide_and_conquer,1,1.0,0.0,5.500000014535544e-06,1
dinamic_programming,1,1.0,0.0,5.29999999798747e-05,1
dinamic_programming_2,1,1.0,0.0,5.8099999989735807e-05,1
greedy_approach,1,1.0,0.0,3.829999999993561e-05,1
branch_and_bound_len,1,1.0,0.0,1.319999998372623e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.7299999996112092e-05,6
pure_recursion,1,1.0,0.0,7.199999998874773e-06,1
divide_and_conquer,2,2.0,0.0,7.469999999898391e-05,1
dinamic_programming,2,2.0,0.0,0.00010500000001911758,1
dinamic_programming_2,2,2.0,0.0,0.00012250000000335604,1
greedy_approach,2,2.0,0.0,7.049999999253487e-05,1
branch_and_bound_len,2,2.0,0.0,5.0999999984924216e-05,19
branch_and_bound_cnt,2,2.0,0.0009965896606445312,4.400000000259752e-05,9
pure_recursion,2,2.0,0.0,3.4199999987549745e-05,1
divide_and_conquer,2,2.0,0.0,8.529999999495885e-05,1
dinamic_programming,2,2.0,0.0,7.120000000782056e-05,1
dinamic_programming_2,2,2.0,0.0,7.730000001515691e-05,1
greedy_approach,2,2.0,0.0,4.8300000003109744e-05,1
branch_and_bound_len,2,2.0,0.0,3.000000000952241e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.6700000006485425e-05,9
pure_recursion,2,2.0,0.0009975433349609375,2.5799999974651655e-05,1
divide_and_conquer,2,2.0,0.0,7.270000000403343e-05,1
dinamic_programming,2,2.0,0.0,0.00010200000002669185,1
dinamic_programming_2,2,2.0,0.0,0.00012290000000803047,1
greedy_approach,2,2.0,0.000997304916381836,7.47999999930471e-05,1
branch_and_bound_len,2,2.0,0.0,4.999999998744897e-05,19
branch_and_bound_cnt,2,2.0,0.0,4.1699999997035775e-05,9
pure_recursion,2,2.0,0.0,3.4599999992224184e-05,1
divide_and_conquer,2,2.0,0.0,8.379999999874599e-05,1
dinamic_programming,2,2.0,0.000997304916381836,0.00015809999999305546,1
dinamic_programming_2,2,2.0,0.0,0.00012229999998680796,1
greedy_approach,2,2.0,0.0,5.780000000754626e-05,1
branch_and_bound_len,2,2.0,0.0,3.000000000952241e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.5499999992462108e-05,9
pure_recursion,2,2.0,0.0,2.119999999194988e-05,1
divide_and_conquer,2,2.0,0.0,7.389999998963503e-05,1
dinamic_programming,2,2.0,0.0009970664978027344,0.00011000000000649379,1
dinamic_programming_2,2,2.0,0.0,0.00012380000001144253,1
greedy_approach,2,2.0,0.0,7.080000000314612e-05,1
branch_and_bound_len,2,2.0,0.0,5.079999999679785e-05,19
branch_and_bound_cnt,2,2.0,0.0,4.189999998516214e-05,9
pure_recursion,2,2.0,0.0,3.440000000409782e-05,1
divide_and_conquer,2,2.0,0.0,8.439999999154679e-05,1
dinamic_programming,2,2.0,0.0009975433349609375,7.600000000707041e-05,1
dinamic_programming_2,2,2.0,0.0,7.649999997738632e-05,1
greedy_approach,2,2.0,0.0,4.720000001157132e-05,1
branch_and_bound_len,2,2.0,0.0,3.0100000003585592e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.6199999979326094e-05,9
pure_recursion,2,2.0,0.0,2.1500000002561137e-05,1
divide_and_conquer,2,1.0,0.0,7.03000000044085e-05,1
dinamic_programming,2,1.0,0.0,0.0001017000000160806,1
dinamic_programming_2,2,1.0,0.0,0.00011770000000410619,1
greedy_approach,2,1.0,0.0,7.119999997939885e-05,1
branch_and_bound_len,2,1.0,0.0009975433349609375,3.5099999990961805e-05,7
branch_and_bound_cnt,2,1.0,0.0,3.5900000000310683e-05,5
pure_recursion,2,1.0,0.0,3.499999999689862e-05,1
divide_and_conquer,2,2.0,0.0,7.189999999468455e-05,1
dinamic_programming,2,2.0,0.0,7.050000002095658e-05,1
dinamic_programming_2,2,2.0,0.0,7.730000001515691e-05,1
greedy_approach,2,2.0,0.0,4.710000001750814e-05,1
branch_and_bound_len,2,2.0,0.0,2.9299999994236714e-05,19
branch_and_bound_cnt,2,2.0,0.0,4.4299999984787064e-05,9
pure_recursion,2,2.0,0.0,3.4699999986287366e-05,1
divide_and_conquer,2,2.0,0.0,7.600000000707041e-05,1
dinamic_programming,2,2.0,0.0,7.08999999972093e-05,1
dinamic_programming_2,2,2.0,0.0,7.650000000580803e-05,1
greedy_approach,2,2.0,0.0,4.6600000018770515e-05,1
branch_and_bound_len,2,2.0,0.0,3.000000000952241e-05,19
branch_and_bound_cnt,2,2.0,0.0,2.609999998526291e-05,9
pure_recursion,2,2.0,0.0,4.8600000013721e-05,1
divide_and_conquer,2,2.0,0.0,7.840000000669534e-05,1
dinamic_programming,2,2.0,0.0,0.00011080000001584267,1
dinamic_programming_2,2,2.0,0.0,0.00012300000000209366,1
greedy_approach,2,2.0,0.0,7.099999999127249e-05,1
branch_and_bound_len,2,2.0,0.0,4.870000000778418e-05,19
branch_and_bound_cnt,2,2.0,0.0,4.240000001232147e-05,9
pure_recursion,2,2.0,0.0,3.490000000283544e-05,1
divide_and_conquer,3,3.0,0.0,0.00012409999999363208,1
dinamic_programming,3,3.0,0.0,9.099999999762076e-05,1
dinamic_programming_2,3,3.0,0.0,9.869999999523316e-05,1
greedy_approach,3,3.0,0.0,5.509999999731008e-05,1
branch_and_bound_len,3,3.0,0.0,8.49999999843476e-05,56
branch_and_bound_cnt,3,3.0,0.0,3.399999999942338e-05,12
pure_recursion,3,3.0,0.0,8.95000000014079e-05,1
divide_and_conquer,3,3.0,0.0,0.0001508000000001175,1
dinamic_programming,3,3.0,0.0,8.89000000086071e-05,1
dinamic_programming_2,3,3.0,0.0,9.950000000458203e-05,1
greedy_approach,3,3.0,0.0,8.959999999547108e-05,1
branch_and_bound_len,3,3.0,0.0,0.0001962000000048647,56
branch_and_bound_cnt,3,3.0,0.0,5.710000002068227e-05,12
pure_recursion,3,3.0,0.0,8.669999999710853e-05,1
divide_and_conquer,3,3.0,0.0,0.00016909999999370484,1
dinamic_programming,3,3.0,0.0,0.00013380000001461667,1
dinamic_programming_2,3,3.0,0.0,0.00016379999999571737,1
greedy_approach,3,3.0,0.0,8.529999999495885e-05,1
branch_and_bound_len,3,3.0,0.0,0.00018119999998589265,68
branch_and_bound_cnt,3,3.0,0.0,7.550000000833279e-05,18
pure_recursion,3,3.0,0.0,0.00016479999999319261,1
divide_and_conquer,3,3.0,0.0,0.00013129999999250686,1
dinamic_programming,3,3.0,0.0,9.010000002263041e-05,1
dinamic_programming_2,3,3.0,0.0,9.870000002365487e-05,1
greedy_approach,3,3.0,0.0,5.550000000198452e-05,1
branch_and_bound_len,3,3.0,0.0,8.230000000253312e-05,56
branch_and_bound_cnt,3,3.0,0.0,7.730000001515691e-05,12
pure_recursion,3,3.0,0.0,0.00016149999999015563,1
divide_and_conquer,3,3.0,0.0,0.00012879999999881875,1
dinamic_programming,3,3.0,0.000997304916381836,9.96999999927084e-05,1
dinamic_programming_2,3,3.0,0.0,0.00010000000000331966,1
greedy_approach,3,3.0,0.0,5.609999999478532e-05,1
branch_and_bound_len,3,3.0,0.0,8.439999999154679e-05,56
branch_and_bound_cnt,3,3.0,0.0,3.440000000409782e-05,12
pure_recursion,3,3.0,0.0,8.930000001328153e-05,1
divide_and_conquer,3,3.0,0.0,0.0001431000000025051,1
dinamic_programming,3,3.0,0.0009975433349609375,0.00013889999999605607,1
dinamic_programming_2,3,3.0,0.0,0.0001719999999920674,1
greedy_approach,3,3.0,0.000997304916381836,8.679999999117172e-05,1
branch_and_bound_len,3,3.0,0.0,0.00016450000001100307,56
branch_and_bound_cnt,3,3.0,0.0,5.909999998721105e-05,12
pure_recursion,3,3.0,0.0,0.00016450000001100307,1
divide_and_conquer,3,3.0,0.0,0.000164299999994455,1
dinamic_programming,3,3.0,0.0,0.00013640000000236796,1
dinamic_programming_2,3,3.0,0.0,0.00010320000001229346,1
greedy_approach,3,3.0,0.0,5.730000000880864e-05,1
branch_and_bound_len,3,3.0,0.0008919239044189453,8.750000000645741e-05,56
branch_and_bound_cnt,3,3.0,0.0,3.3799999982875306e-05,12
pure_recursion,3,3.0,0.0,8.81999999933214e-05,1
divide_and_conquer,3,3.0,0.0,0.00016899999999964166,1
dinamic_programming,3,3.0,0.0,0.0001398999999935313,1
dinamic_programming_2,3,3.0,0.0,0.00016650000000595355,1
greedy_approach,3,3.0,0.0,8.560000000557011e-05,1
branch_and_bound_len,3,3.0,0.0,0.00017400000001543958,62
branch_and_bound_cnt,3,3.0,0.0,6.489999998393614e-05,15
