algorithm,len,ed,time,clock_time,calls
divide_and_conquer,5,1.0,0.0009613037109375,0.00020139999998036728,1
dinamic_programming,5,1.0,0.0,0.00014589999997838277,1
dinamic_programming_2,5,1.0,0.0,0.00017339999999421707,1
greedy_approach,5,1.0,0.0,8.299999998939711e-05,1
divide_and_conquer,5,1.0,0.0,0.00026950000000169894,1
dinamic_programming,5,1.0,0.0,0.00012680000000386826,1
dinamic_programming_2,5,1.0,0.0,0.00015630000001465305,1
greedy_approach,5,1.0,0.0,9.729999999308347e-05,1
divide_and_conquer,5,1.0,0.0,0.0002179999999896154,1
dinamic_programming,5,1.0,0.0009984970092773438,0.00016030000000455402,1
dinamic_programming_2,5,1.0,0.0,0.00016729999998688072,1
greedy_approach,5,1.0,0.0,8.969999998953426e-05,1
divide_and_conquer,5,1.0,0.0009970664978027344,0.00021190000001070075,1
dinamic_programming,5,1.0,0.0,0.00012750000001915396,1
dinamic_programming_2,5,1.0,0.0009968280792236328,0.0001655000000084783,1
greedy_approach,5,1.0,0.0,8.210000001440676e-05,1
divide_and_conquer,5,1.0,0.0,0.00019439999999804058,1
dinamic_programming,5,1.0,0.0,0.00015039999999544307,1
dinamic_programming_2,5,1.0,0.0,0.00015759999999431784,1
greedy_approach,5,1.0,0.0,8.010000001945627e-05,1
divide_and_conquer,5,1.0,0.000997781753540039,0.00023929999997562845,1
dinamic_programming,5,1.0,0.0,0.00012759999998479543,1
dinamic_programming_2,5,1.0,0.0009968280792236328,0.00016460000000506625,1
greedy_approach,5,1.0,0.0,7.499999998117346e-05,1
divide_and_conquer,5,1.0,0.0,0.00018140000000244072,1
dinamic_programming,5,1.0,0.0,0.00012440000000424334,1
dinamic_programming_2,5,1.0,0.0,0.00015809999999305546,1
greedy_approach,5,1.0,0.0,8.62999999924341e-05,1
divide_and_conquer,5,1.0,0.0,0.00021200000000476393,1
dinamic_programming,5,1.0,0.000997304916381836,0.0001328999999827829,1
dinamic_programming_2,5,1.0,0.0,0.00016180000000076689,1
greedy_approach,5,1.0,0.0,7.420000000024629e-05,1
divide_and_conquer,5,1.0,0.0,0.00017980000001216467,1
dinamic_programming,5,1.0,0.0,0.00010969999999588254,1
dinamic_programming_2,5,1.0,0.0,0.00015359999997599516,1
greedy_approach,5,1.0,0.0,0.00013059999997722116,1
divide_and_conquer,5,1.0,0.0,0.00018939999998224266,1
dinamic_programming,5,1.0,0.0009965896606445312,0.0001375000000223281,1
dinamic_programming_2,5,1.0,0.0,0.0001617000000067037,1
greedy_approach,5,1.0,0.0,8.400000001529406e-05,1
divide_and_conquer,10,1.0,0.0009965896606445312,0.0004753999999991265,1
dinamic_programming,10,1.0,0.0,0.0002707999999813637,1
dinamic_programming_2,10,1.0,0.0,0.0003709000000071683,1
greedy_approach,10,1.0,0.0,0.0001207999999905951,1
divide_and_conquer,10,2.0,0.000997304916381836,0.0004839000000060878,1
dinamic_programming,10,2.0,0.0,0.00028040000000828513,1
dinamic_programming_2,10,2.0,0.0,0.00041000000001645276,1
greedy_approach,10,2.0,0.0,0.00012090000001307999,1
divide_and_conquer,10,2.0,0.0009975433349609375,0.0004844999999988886,1
dinamic_programming,10,2.0,0.0,0.0002735000000200216,1
dinamic_programming_2,10,2.0,0.0,0.0003816999999912696,1
greedy_approach,10,2.0,0.0,0.00011940000001686712,1
divide_and_conquer,10,1.0,0.0,0.0004661000000112381,1
dinamic_programming,10,1.0,0.0,0.00024380000002111046,1
dinamic_programming_2,10,1.0,0.0009999275207519531,0.0003695999999990818,1
greedy_approach,10,1.0,0.0,0.00011609999998540843,1
divide_and_conquer,10,2.0,0.0,0.0004690000000096006,1
dinamic_programming,10,2.0,0.0,0.000495700000016086,1
dinamic_programming_2,10,2.0,0.0,0.00037810000000604305,1
greedy_approach,10,2.0,0.0,0.00011999999998124622,1
divide_and_conquer,10,0.0,0.000997304916381836,0.0008110999999928481,1
dinamic_programming,10,0.0,0.0,3.39000000053602e-05,1
dinamic_programming_2,10,0.0,0.0009963512420654297,0.00039089999998509484,1
greedy_approach,10,0.0,0.0,0.0001207999999905951,1
divide_and_conquer,10,2.0,0.0010356903076171875,0.0009603999999967527,1
dinamic_programming,10,2.0,0.0,0.0002600999999913256,1
dinamic_programming_2,10,2.0,0.0,0.0003848000000061802,1
greedy_approach,10,2.0,0.0,0.00011659999998414605,1
divide_and_conquer,10,2.0,0.001020193099975586,0.0009899000000075375,1
dinamic_programming,10,2.0,0.0,0.00024270000000115033,1
dinamic_programming_2,10,2.0,0.0,0.00036520000000450636,1
greedy_approach,10,2.0,0.0,0.00010330000000635664,1
divide_and_conquer,10,1.0,0.0009970664978027344,0.0008746000000030563,1
dinamic_programming,10,1.0,0.0,0.00024890000000254986,1
dinamic_programming_2,10,1.0,0.0010218620300292969,0.0004646999999806667,1
greedy_approach,10,1.0,0.0,0.00015440000001376575,1
divide_and_conquer,10,2.0,0.0009970664978027344,0.0004978999999991629,1
dinamic_programming,10,2.0,0.0,0.00025719999999296306,1
dinamic_programming_2,10,2.0,0.0,0.0003692999999884705,1
greedy_approach,10,2.0,0.0,0.00011739999999349493,1
divide_and_conquer,15,3.0,0.0010116100311279297,0.0010518999999931111,1
dinamic_programming,15,3.0,0.0,0.00048089999998524036,1
dinamic_programming_2,15,3.0,0.000997304916381836,0.0006728000000180145,1
greedy_approach,15,3.0,0.000997304916381836,0.0001450999999974556,1
divide_and_conquer,15,2.0,0.002991914749145508,0.002038599999991675,1
dinamic_programming,15,2.0,0.0,0.0004930000000058499,1
dinamic_programming_2,15,2.0,0.0,0.0006956000000002405,1
greedy_approach,15,2.0,0.0,0.00014269999999783067,1
divide_and_conquer,15,3.0,0.0,0.0009240999999917676,1
dinamic_programming,15,3.0,0.0,0.00045329999997534287,1
dinamic_programming_2,15,3.0,0.0,0.0007128999999963526,1
greedy_approach,15,3.0,0.0,0.00014369999999530592,1
divide_and_conquer,15,2.0,0.000997304916381836,0.0012873000000013235,1
dinamic_programming,15,2.0,0.000997304916381836,0.0004562000000021271,1
dinamic_programming_2,15,2.0,0.0009975433349609375,0.0007056999999974778,1
greedy_approach,15,2.0,0.0,0.00015890000000240434,1
divide_and_conquer,15,3.0,0.000997781753540039,0.0010890000000074451,1
dinamic_programming,15,3.0,0.0009970664978027344,0.0004794999999830907,1
dinamic_programming_2,15,3.0,0.000997304916381836,0.0007659999999987122,1
greedy_approach,15,3.0,0.0,0.00015639999998029452,1
divide_and_conquer,15,3.0,0.000997781753540039,0.000879500000024791,1
dinamic_programming,15,3.0,0.0009970664978027344,0.00043989999997506857,1
dinamic_programming_2,15,3.0,0.000997304916381836,0.0007535000000018499,1
greedy_approach,15,3.0,0.0,0.00015949999999520514,1
divide_and_conquer,15,3.0,0.0009980201721191406,0.0008831000000100175,1
dinamic_programming,15,3.0,0.0009968280792236328,0.0005679000000213819,1
dinamic_programming_2,15,3.0,0.0009987354278564453,0.000702499999988504,1
greedy_approach,15,3.0,0.0,0.00018819999999664105,1
