algorithm,len,ed,time,clock_time,calls
divide_and_conquer,5,5.0,0.0,0.00018929999998817948,1
dinamic_programming,5,5.0,0.0,0.00014099999998506973,1
dinamic_programming_2,5,5.0,0.0,0.000161699999978282,1
greedy_approach,5,5.0,0.0,7.310000000870787e-05,1
divide_and_conquer,5,5.0,0.0,0.0002786999999671025,1
dinamic_programming,5,5.0,0.0,0.0001305000000115797,1
dinamic_programming_2,5,5.0,0.0,0.00015910000001895241,1
greedy_approach,5,5.0,0.0,7.210000001123262e-05,1
divide_and_conquer,5,4.0,0.0,0.00034370000003036694,1
dinamic_programming,5,4.0,0.000997781753540039,0.00017410000003792447,1
dinamic_programming_2,5,4.0,0.0,0.00017669999999725405,1
greedy_approach,5,5.0,0.0,8.660000003146706e-05,1
divide_and_conquer,5,4.0,0.0,0.0003044000000045344,1
dinamic_programming,5,4.0,0.0009975433349609375,0.00016480000005003603,1
dinamic_programming_2,5,4.0,0.0,0.00017739999998411804,1
greedy_approach,5,5.0,0.0,0.00010650000001533044,1
divide_and_conquer,5,5.0,0.0010061264038085938,0.0006151000000045315,1
dinamic_programming,5,5.0,0.0,0.00013849999999138163,1
dinamic_programming_2,5,5.0,0.0,0.00016080000000329164,1
greedy_approach,5,5.0,0.0,7.389999996121333e-05,1
divide_and_conquer,5,4.0,0.0,0.0002736000000140848,1
dinamic_programming,5,4.0,0.0,0.00012829999997165942,1
dinamic_programming_2,5,4.0,0.0,0.00017560000003413734,1
greedy_approach,5,4.0,0.0,8.130000003347959e-05,1
divide_and_conquer,5,5.0,0.0,0.0002709999999979118,1
dinamic_programming,5,5.0,0.0,0.00012670000000980508,1
dinamic_programming_2,5,5.0,0.0,0.000158399999975245,1
greedy_approach,5,5.0,0.0,6.770000004507892e-05,1
divide_and_conquer,5,4.0,0.0,0.0002771999999708896,1
dinamic_programming,5,4.0,0.0,0.00013210000003027744,1
dinamic_programming_2,5,4.0,0.0,0.00017220000000861546,1
greedy_approach,5,5.0,0.0,7.319999997434934e-05,1
divide_and_conquer,5,5.0,0.0,0.00025389999996150436,1
dinamic_programming,5,5.0,0.0,0.000158399999975245,1
dinamic_programming_2,5,5.0,0.0,0.0001762999999641579,1
greedy_approach,5,5.0,0.0,7.410000000618311e-05,1
divide_and_conquer,5,5.0,0.0,0.00025479999999333813,1
dinamic_programming,5,5.0,0.0,0.00014820000001236622,1
dinamic_programming_2,5,5.0,0.0,0.00017519999994419777,1
greedy_approach,5,5.0,0.0,7.439999995995095e-05,1
divide_and_conquer,10,7.0,0.0,0.0005550999999854866,1
dinamic_programming,10,7.0,0.0009663105010986328,0.0006842000000233384,1
dinamic_programming_2,10,7.0,0.0009965896606445312,0.00042789999997694395,1
greedy_approach,10,10.0,0.0,0.00011000000000649379,1
divide_and_conquer,10,8.0,0.0009965896606445312,0.0005392999999571657,1
dinamic_programming,10,8.0,0.0,0.00027649999998402564,1
dinamic_programming_2,10,8.0,0.0,0.00037549999996144834,1
