algorithm,len,ed,time,clock_time,calls
divide_and_conquer,1,0,0.0,5.599999951755308e-06,1
dinamic_programming,1,0,0.0,3.7299999974038656e-05,1
dinamic_programming_2,1,0,0.0,8.530000002338056e-05,1
greedy_approach,1,0,0.0,5.6299999982911686e-05,1
branch_and_bound_len,1,0,0.0,1.099999997222767e-05,2
branch_and_bound_cnt,1,0,0.0,1.6200000004573667e-05,2
pure_recursion,1,0,0.0,9.599999998499698e-06,1
divide_and_conquer,1,0,0.0,5.400000020472362e-06,1
dinamic_programming,1,0,0.0,2.4499999994986865e-05,1
dinamic_programming_2,1,0,0.0,7.890000000543296e-05,1
greedy_approach,1,0,0.0,5.340000001297085e-05,1
branch_and_bound_len,1,0,0.0,9.999999974752427e-06,2
branch_and_bound_cnt,1,0,0.0,1.759999997830164e-05,2
pure_recursion,1,0,0.0,1.3899999999011925e-05,1
divide_and_conquer,1,0,0.0,5.6999999742402e-06,1
dinamic_programming,1,0,0.0,3.440000000409782e-05,1
dinamic_programming_2,1,0,0.0,8.220000000846994e-05,1
greedy_approach,1,0,0.0,5.390000001170847e-05,1
branch_and_bound_len,1,0,0.0,1.0699999961616413e-05,2
branch_and_bound_cnt,1,0,0.0,1.5700000005836046e-05,2
pure_recursion,1,0,0.0,9.299999987888441e-06,1
divide_and_conquer,1,0,0.0,4.899999964891322e-06,1
dinamic_programming,1,0,0.0,9.919999996554907e-05,1
dinamic_programming_2,1,0,0.0,7.870000001730659e-05,1
greedy_approach,1,0,0.000997781753540039,5.8500000022831955e-05,1
branch_and_bound_len,1,0,0.0,1.0800000040944724e-05,2
branch_and_bound_cnt,1,0,0.0,1.579999997147752e-05,2
pure_recursion,1,0,0.0,9.299999987888441e-06,1
divide_and_conquer,1,0,0.0,4.9999999873762135e-06,1
dinamic_programming,1,0,0.0,3.1599999999798456e-05,1
dinamic_programming_2,1,0,0.0,7.659999999987122e-05,1
greedy_approach,1,0,0.0,5.2799999991748336e-05,1
branch_and_bound_len,1,0,0.0,1.020000001972221e-05,2
branch_and_bound_cnt,1,0,0.0,1.589999999396241e-05,2
pure_recursion,1,0,0.0,9.400000010373333e-06,1
divide_and_conquer,1,0,0.0,5.399999963628943e-06,1
dinamic_programming,1,0,0.0,3.1599999999798456e-05,1
dinamic_programming_2,1,0,0.0,7.590000001300723e-05,1
greedy_approach,1,0,0.0,5.1900000016757986e-05,1
branch_and_bound_len,1,0,0.0,9.799999986626062e-06,2
branch_and_bound_cnt,1,0,0.0,1.5299999972739897e-05,2
pure_recursion,1,0,0.0,9.400000010373333e-06,1
divide_and_conquer,1,0,0.0,4.9999999873762135e-06,1
dinamic_programming,1,0,0.0,3.1599999999798456e-05,1
dinamic_programming_2,1,0,0.0,7.649999997738632e-05,1
greedy_approach,1,0,0.0,5.349999997861232e-05,1
branch_and_bound_len,1,0,0.0,1.020000001972221e-05,2
branch_and_bound_cnt,1,0,0.0,1.5499999960866262e-05,2
pure_recursion,1,0,0.0,8.999999977277184e-06,1
divide_and_conquer,1,0,0.0,4.899999964891322e-06,1
dinamic_programming,1,0,0.0,3.229999998666244e-05,1
dinamic_programming_2,1,0,0.0,7.690000001048247e-05,1
greedy_approach,1,0,0.0,5.9399999997822306e-05,1
branch_and_bound_len,1,0,0.0,1.0099999997237319e-05,2
branch_and_bound_cnt,1,0,0.0,1.4199999952779763e-05,2
pure_recursion,1,0,0.0,9.399999953529914e-06,1
divide_and_conquer,1,0,0.0,5.29999999798747e-06,1
dinamic_programming,1,0,0.0,3.5900000000310683e-05,1
dinamic_programming_2,1,0,0.0,7.969999995793842e-05,1
greedy_approach,1,0,0.0009970664978027344,5.8000000024094334e-05,1
branch_and_bound_len,1,0,0.0,1.0199999962878792e-05,2
branch_and_bound_cnt,1,0,0.0,1.589999999396241e-05,2
pure_recursion,1,0,0.0,8.79999998915082e-06,1
divide_and_conquer,1,0,0.0,4.199999978027336e-06,1
dinamic_programming,1,0,0.0,3.1599999999798456e-05,1
dinamic_programming_2,1,0,0.0,7.709999999860884e-05,1
greedy_approach,1,0,0.0,5.290000001423323e-05,1
branch_and_bound_len,1,0,0.0,9.800000043469481e-06,2
branch_and_bound_cnt,1,0,0.0,1.5099999984613532e-05,2
pure_recursion,1,0,0.0,8.899999954792293e-06,1
divide_and_conquer,2,0,0.0,8.170000000973232e-05,1
dinamic_programming,2,0,0.0,2.5400000026820635e-05,1
dinamic_programming_2,2,0,0.0,7.720000002109373e-05,1
greedy_approach,2,0,0.0,4.849999999123611e-05,1
branch_and_bound_len,2,0,0.0,1.0300000042207103e-05,3
branch_and_bound_cnt,2,0,0.0,1.6100000038932194e-05,3
pure_recursion,2,0,0.0009975433349609375,4.410000002508241e-05,1
divide_and_conquer,2,0,0.0,8.200000002034358e-05,1
dinamic_programming,2,0,0.0009970664978027344,3.659999998717467e-05,1
dinamic_programming_2,2,0,0.0,7.620000002361849e-05,1
greedy_approach,2,0,0.0,4.8300000003109744e-05,1
branch_and_bound_len,2,0,0.0,1.0400000007848575e-05,3
branch_and_bound_cnt,2,0,0.0,1.589999999396241e-05,3
pure_recursion,2,0,0.0,2.3300000009385258e-05,1
divide_and_conquer,2,0,0.0,7.240000002184388e-05,1
dinamic_programming,2,0,0.0,2.43000000068605e-05,1
dinamic_programming_2,2,0,0.000997781753540039,8.119999995415128e-05,1
greedy_approach,2,0,0.0,4.8400000025594636e-05,1
branch_and_bound_len,2,0,0.0,1.059999999597494e-05,3
branch_and_bound_cnt,2,0,0.0,1.6200000004573667e-05,3
pure_recursion,2,0,0.0,3.739999999652355e-05,1
divide_and_conquer,2,0,0.0,8.520000000089567e-05,1
dinamic_programming,2,0,0.0,2.4899999971239595e-05,1
