algorithm,len,ed,time,clock_time,calls
divide_and_conquer,1,0.0,0.0,3.7e-06,1
dinamic_programming,1,0.0,0.0,4.310000000000002e-05,1
dinamic_programming_2,1,0.0,0.0,7.180000000000001e-05,1
greedy_approach,1,0.0,0.0,4.189999999999988e-05,1
branch_and_bound_len,1,0.0,0.0,1.1600000000000065e-05,2
branch_and_bound_cnt,1,0.0,0.0,2.8699999999999993e-05,2
pure_recursion,1,0.0,0.0,2.5100000000000122e-05,1
divide_and_conquer,1,0.0,0.0,4.600000000000003e-06,1
dinamic_programming,1,0.0,0.0,3.29000000000002e-05,1
dinamic_programming_2,1,0.0,0.0,5.480000000000025e-05,1
greedy_approach,1,0.0,0.0,5.209999999999937e-05,1
branch_and_bound_len,1,0.0,0.0,8.100000000000468e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.3299999999999944e-05,2
pure_recursion,1,0.0,0.0,8.400000000000421e-06,1
divide_and_conquer,1,0.0,0.0,3.3999999999997574e-06,1
dinamic_programming,1,0.0,0.0,2.2399999999999677e-05,1
dinamic_programming_2,1,0.0,0.0,5.129999999999978e-05,1
greedy_approach,1,0.0,0.0,3.8599999999999746e-05,1
branch_and_bound_len,1,0.0,0.0,9.399999999999686e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.5900000000000115e-05,2
pure_recursion,1,0.0,0.0,8.0999999999996e-06,1
divide_and_conquer,1,0.0,0.0,4.699999999999843e-06,1
dinamic_programming,1,0.0,0.0,3.259999999999895e-05,1
dinamic_programming_2,1,0.0,0.0,7.840000000000104e-05,1
greedy_approach,1,0.0,0.0,5.60999999999999e-05,1
branch_and_bound_len,1,0.0,0.0,1.1299999999998811e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.8300000000000607e-05,2
pure_recursion,1,0.0,0.0,9.000000000000327e-06,1
divide_and_conquer,1,0.0,0.0,4.499999999999296e-06,1
dinamic_programming,1,0.0,0.0,3.020000000000106e-05,1
dinamic_programming_2,1,0.0,0.0,7.419999999999996e-05,1
greedy_approach,1,0.0,0.0,5.300000000000096e-05,1
branch_and_bound_len,1,0.0,0.0,1.0299999999999546e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.5900000000000983e-05,2
pure_recursion,1,0.0,0.0,8.79999999999978e-06,1
divide_and_conquer,1,0.0,0.0,4.300000000000484e-06,1
dinamic_programming,1,0.0,0.0,3.129999999999973e-05,1
dinamic_programming_2,1,0.0,0.0,7.910000000000035e-05,1
greedy_approach,1,0.0,0.000997304916381836,5.919999999999884e-05,1
branch_and_bound_len,1,0.0,0.0,1.070000000000064e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.5999999999998654e-05,2
pure_recursion,1,0.0,0.0,7.000000000000062e-06,1
divide_and_conquer,1,0.0,0.0,3.500000000000031e-06,1
dinamic_programming,1,0.0,0.0,2.3699999999999763e-05,1
dinamic_programming_2,1,0.0,0.0,5.4699999999997806e-05,1
greedy_approach,1,0.0,0.0,3.819999999999865e-05,1
branch_and_bound_len,1,0.0,0.0,8.400000000002156e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2100000000000999e-05,2
pure_recursion,1,0.0,0.0,1.2700000000000905e-05,1
divide_and_conquer,1,0.0,0.0,4.300000000002219e-06,1
dinamic_programming,1,0.0,0.0,4.380000000000009e-05,1
dinamic_programming_2,1,0.0,0.0,5.530000000000118e-05,1
greedy_approach,1,0.0,0.0,3.880000000000203e-05,1
branch_and_bound_len,1,0.0,0.0,1.2800000000000311e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.6999999999999654e-05,2
pure_recursion,1,0.0,0.0,1.0900000000001187e-05,1
divide_and_conquer,1,0.0,0.0,4.000000000000531e-06,1
dinamic_programming,1,0.0,0.0,3.900000000000084e-05,1
dinamic_programming_2,1,0.0,0.0,5.410000000000137e-05,1
greedy_approach,1,0.0,0.0,4.070000000000115e-05,1
branch_and_bound_len,1,0.0,0.0,8.700000000000374e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2700000000000905e-05,2
pure_recursion,1,0.0,0.0,8.600000000000968e-06,1
divide_and_conquer,1,0.0,0.0,6.3000000000007494e-06,1
dinamic_programming,1,0.0,0.0,2.4299999999997934e-05,1
dinamic_programming_2,1,0.0,0.0,5.540000000000059e-05,1
greedy_approach,1,0.0,0.0,3.830000000000153e-05,1
branch_and_bound_len,1,0.0,0.0,8.100000000000468e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.6800000000000842e-05,2
pure_recursion,1,0.0,0.0,1.2100000000000999e-05,1
divide_and_conquer,2,0.0,0.0,9.029999999999802e-05,1
dinamic_programming,2,0.0,0.0,0.00014420000000000058,1
dinamic_programming_2,2,0.0,0.0,8.270000000000152e-05,1
greedy_approach,2,0.0,0.0,4.7699999999997744e-05,1
branch_and_bound_len,2,0.0,0.0,1.3600000000002499e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.7999999999997185e-05,3
pure_recursion,2,0.0,0.0,2.5499999999997747e-05,1
divide_and_conquer,2,0.0,0.0,4.810000000000231e-05,1
dinamic_programming,2,0.0,0.0,2.390000000000031e-05,1
dinamic_programming_2,2,0.0,0.0,7.350000000000065e-05,1
greedy_approach,2,0.0,0.0,4.660000000000081e-05,1
branch_and_bound_len,2,0.0,0.0,1.1299999999998811e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.7199999999998467e-05,3
pure_recursion,2,0.0,0.0,2.3499999999999216e-05,1
divide_and_conquer,2,0.0,0.0,4.70000000000019e-05,1
dinamic_programming,2,0.0,0.0,2.3499999999999216e-05,1
dinamic_programming_2,2,0.0,0.0,7.309999999999955e-05,1
greedy_approach,2,0.0,0.0,7.100000000000162e-05,1
branch_and_bound_len,2,0.0,0.0,1.559999999999756e-05,3
branch_and_bound_cnt,2,0.0,0.0,2.940000000000581e-05,3
pure_recursion,2,0.0,0.0,3.720000000000112e-05,1
divide_and_conquer,2,0.0,0.0,8.189999999999586e-05,1
dinamic_programming,2,0.0,0.0,3.6600000000004684e-05,1
dinamic_programming_2,2,0.0,0.0009968280792236328,0.0001255000000000006,1
greedy_approach,2,0.0,0.0,7.210000000000549e-05,1
branch_and_bound_len,2,0.0,0.0,1.5900000000006187e-05,3
branch_and_bound_cnt,2,0.0,0.0,2.3599999999998622e-05,3
pure_recursion,2,0.0,0.0,3.6600000000004684e-05,1
divide_and_conquer,2,0.0,0.000997781753540039,7.360000000000005e-05,1
dinamic_programming,2,0.0,0.0,3.319999999999712e-05,1
dinamic_programming_2,2,0.0,0.0,0.00011330000000000368,1
greedy_approach,2,0.0,0.0,7.059999999999705e-05,1
branch_and_bound_len,2,0.0,0.0,1.5400000000005687e-05,3
branch_and_bound_cnt,2,0.0,0.0,2.3799999999997434e-05,3
pure_recursion,2,0.0,0.0,3.640000000000587e-05,1
divide_and_conquer,2,0.0,0.0,7.23000000000043e-05,1
dinamic_programming,2,0.0,0.0,3.339999999999593e-05,1
dinamic_programming_2,2,0.0,0.0,0.00011369999999999436,1
greedy_approach,2,0.0,0.0009970664978027344,7.399999999999768e-05,1
branch_and_bound_len,2,0.0,0.0,1.5199999999999936e-05,3
branch_and_bound_cnt,2,0.0,0.0,2.3499999999995747e-05,3
pure_recursion,2,0.0,0.0,3.690000000000637e-05,1
divide_and_conquer,2,0.0,0.0,7.599999999999968e-05,1
dinamic_programming,2,0.0,0.0,3.5099999999996245e-05,1
dinamic_programming_2,2,0.0,0.0,0.0001222999999999988,1
greedy_approach,2,0.0,0.0,7.109999999999755e-05,1
branch_and_bound_len,2,0.0,0.0,1.509999999999706e-05,3
branch_and_bound_cnt,2,0.0,0.0,2.3599999999998622e-05,3
pure_recursion,2,0.0,0.0,3.650000000000181e-05,1
divide_and_conquer,2,0.0,0.0,7.129999999999637e-05,1
dinamic_programming,2,0.0,0.0,3.269999999999662e-05,1
dinamic_programming_2,2,0.0,0.000997304916381836,0.00011359999999999842,1
greedy_approach,2,0.0,0.0,7.060000000000399e-05,1
branch_and_bound_len,2,0.0,0.0,1.5500000000001624e-05,3
branch_and_bound_cnt,2,0.0,0.0,2.3099999999998122e-05,3
pure_recursion,2,0.0,0.0,3.620000000000012e-05,1
divide_and_conquer,2,0.0,0.000997304916381836,7.349999999999718e-05,1
dinamic_programming,2,0.0,0.0,3.289999999999543e-05,1
dinamic_programming_2,2,0.0,0.0,0.00011540000000000161,1
greedy_approach,2,0.0,0.0,0.00010139999999999455,1
branch_and_bound_len,2,0.0,0.0,1.4699999999999436e-05,3
branch_and_bound_cnt,2,0.0,0.0,4.219999999999918e-05,3
pure_recursion,2,0.0,0.0,2.6600000000001622e-05,1
divide_and_conquer,2,0.0,0.0,9.55000000000053e-05,1
dinamic_programming,2,0.0,0.0,4.9699999999999744e-05,1
dinamic_programming_2,2,0.0,0.0,8.430000000000243e-05,1
