algorithm,len,ed,time,clock_time,calls
divide_and_conquer,5,5.0,0.0,0.00018000000000029104,1
dinamic_programming,5,5.0,0.0,0.00015170000000352957,1
dinamic_programming_2,5,5.0,0.0,0.00017350000001670196,1
greedy_approach,5,5.0,0.0,8.170000000973232e-05,1
divide_and_conquer,5,5.0,0.0,0.00016790000000810323,1
dinamic_programming,5,5.0,0.0009970664978027344,0.0001394000000232154,1
dinamic_programming_2,5,5.0,0.0,0.0001705999999899177,1
greedy_approach,5,5.0,0.0010068416595458984,8.25000000190812e-05,1
divide_and_conquer,5,5.0,0.0,0.0001707000000124026,1
dinamic_programming,5,5.0,0.0,0.00013960000001134176,1
dinamic_programming_2,5,5.0,0.0,0.00016790000000810323,1
greedy_approach,5,5.0,0.0,8.159999998724743e-05,1
divide_and_conquer,5,5.0,0.000997304916381836,0.0002370999999925516,1
dinamic_programming,5,5.0,0.0,0.00033849999999802094,1
dinamic_programming_2,5,5.0,0.0,0.00017109999998865533,1
greedy_approach,5,5.0,0.0,8.04999999672873e-05,1
divide_and_conquer,5,5.0,0.0,0.0001680999999962296,1
dinamic_programming,5,5.0,0.0009970664978027344,0.00014009999995323597,1
dinamic_programming_2,5,5.0,0.0,0.0001687000000174521,1
greedy_approach,5,5.0,0.0,8.149999996476254e-05,1
divide_and_conquer,5,5.0,0.0,0.00018230000000585278,1
dinamic_programming,5,5.0,0.0,0.00016790000000810323,1
dinamic_programming_2,5,5.0,0.0,0.00016660000000001673,1
greedy_approach,5,5.0,0.0,8.020000001351946e-05,1
divide_and_conquer,5,5.0,0.0,0.00017099999996617044,1
dinamic_programming,5,5.0,0.0,0.00014990000005354887,1
dinamic_programming_2,5,5.0,0.0,0.00016629999998940548,1
greedy_approach,5,5.0,0.0,8.129999997663617e-05,1
divide_and_conquer,5,4.0,0.000997304916381836,0.00018449999998892963,1
dinamic_programming,5,4.0,0.0,0.00013380000001461667,1
dinamic_programming_2,5,4.0,0.0,0.00016479999999319261,1
greedy_approach,5,4.0,0.0,8.400000001529406e-05,1
divide_and_conquer,5,5.0,0.000997781753540039,0.00018520000003263704,1
dinamic_programming,5,5.0,0.0,0.0001369000000295273,1
dinamic_programming_2,5,5.0,0.001005411148071289,0.00016850000002932575,1
greedy_approach,5,5.0,0.0,8.029999997916093e-05,1
divide_and_conquer,5,4.0,0.0,0.00018340000002581291,1
dinamic_programming,5,4.0,0.0,0.0001324000000408887,1
dinamic_programming_2,5,4.0,0.0,0.00017209999998613057,1
greedy_approach,5,4.0,0.0,8.009999999103457e-05,1
divide_and_conquer,10,10.0,0.0,0.0004923000000189859,1
dinamic_programming,10,10.0,0.0009968280792236328,0.0009832000000074004,1
dinamic_programming_2,10,10.0,0.0,0.00043239999996558254,1
greedy_approach,10,10.0,0.0,0.00011589999996886036,1
divide_and_conquer,10,10.0,0.0009970664978027344,0.0005315000000223336,1
dinamic_programming,10,10.0,0.00102996826171875,0.0003092000000037842,1
dinamic_programming_2,10,10.0,0.0,0.0004221000000370623,1
greedy_approach,10,10.0,0.0,0.00011319999998704589,1
divide_and_conquer,10,10.0,0.0009961128234863281,0.0005242000000293956,1
dinamic_programming,10,10.0,0.0009968280792236328,0.00026549999995495455,1
dinamic_programming_2,10,10.0,0.0,0.0003925000000322143,1
greedy_approach,10,10.0,0.0,0.00010250000002542947,1
divide_and_conquer,10,10.0,0.000997304916381836,0.0005198000000063985,1
dinamic_programming,10,10.0,0.0,0.00027070000004414396,1
dinamic_programming_2,10,10.0,0.0,0.0003950999999915439,1
greedy_approach,10,10.0,0.0,0.00010240000000294458,1
divide_and_conquer,10,10.0,0.000997304916381836,0.0004859000000010383,1
dinamic_programming,10,10.0,0.0,0.0002582999999845015,1
dinamic_programming_2,10,10.0,0.0,0.0003886000000079548,1
greedy_approach,10,10.0,0.0,0.00011690000002317902,1
divide_and_conquer,10,10.0,0.000997781753540039,0.00047580000000380096,1
dinamic_programming,10,10.0,0.0,0.0002709999999979118,1
dinamic_programming_2,10,10.0,0.0,0.000544100000013259,1
greedy_approach,10,10.0,0.0009987354278564453,0.00012689999999793145,1
divide_and_conquer,10,9.0,0.0020189285278320312,0.0013099999999894862,1
dinamic_programming,10,9.0,0.0,0.00028209999999262436,1
dinamic_programming_2,10,9.0,0.0,0.00039729999997462073,1
greedy_approach,10,9.0,0.0,0.00010359999998854619,1
divide_and_conquer,10,10.0,0.0010230541229248047,0.0005067000000167354,1
dinamic_programming,10,10.0,0.0,0.0002704999999991742,1
dinamic_programming_2,10,10.0,0.0,0.0003949000000034175,1
greedy_approach,10,10.0,0.0,0.00010370000001103108,1
divide_and_conquer,10,10.0,0.0010235309600830078,0.0005450000000450927,1
dinamic_programming,10,10.0,0.0009968280792236328,0.0003091999999469408,1
dinamic_programming_2,10,10.0,0.0,0.00039540000000215514,1
greedy_approach,10,10.0,0.0,0.00011620000003631503,1
divide_and_conquer,10,10.0,0.0009961128234863281,0.0005522000000155458,1
dinamic_programming,10,10.0,0.0009968280792236328,0.0003234999999790489,1
dinamic_programming_2,10,10.0,0.0,0.00039590000000089276,1
greedy_approach,10,10.0,0.0,0.00011799999998629573,1
divide_and_conquer,15,15.0,0.0009968280792236328,0.0011939000000324995,1
dinamic_programming,15,15.0,0.0009975433349609375,0.0005024000000162232,1
dinamic_programming_2,15,15.0,0.0009968280792236328,0.0007481000000097993,1
greedy_approach,15,15.0,0.0,0.00019000000003188688,1
divide_and_conquer,15,15.0,0.0010023117065429688,0.0009143999999992047,1
dinamic_programming,15,15.0,0.0,0.000536100000033457,1
dinamic_programming_2,15,15.0,0.0010340213775634766,0.0014628999999786174,1
greedy_approach,15,15.0,0.0,0.00014859999998861895,1
divide_and_conquer,15,15.0,0.001033782958984375,0.0009385999999835803,1
dinamic_programming,15,15.0,0.0009965896606445312,0.0005191000000195345,1
dinamic_programming_2,15,15.0,0.000997781753540039,0.0007805999999845881,1
greedy_approach,15,15.0,0.0,0.00014529999998558196,1
divide_and_conquer,15,14.0,0.0,0.000914000000022952,1
dinamic_programming,15,14.0,0.0,0.0004735999999638807,1
dinamic_programming_2,15,14.0,0.0009968280792236328,0.0008149000000230444,1
greedy_approach,15,14.0,0.0,0.0001611000000139029,1
divide_and_conquer,15,15.0,0.0009615421295166016,0.0008910999999898195,1
dinamic_programming,15,15.0,0.0,0.0004820999999992637,1
dinamic_programming_2,15,15.0,0.0,0.0007391999999981635,1
greedy_approach,15,15.0,0.0,0.00014449999997623308,1
divide_and_conquer,15,14.0,0.0009970664978027344,0.0008877999999867825,1
dinamic_programming,15,14.0,0.000997781753540039,0.0005272999999874628,1
dinamic_programming_2,15,14.0,0.0009970664978027344,0.0007379000000469205,1
greedy_approach,15,14.0,0.0,0.00033339999998815983,1
divide_and_conquer,15,15.0,0.0009968280792236328,0.000904100000013841,1
dinamic_programming,15,15.0,0.0009970664978027344,0.0005123000000253342,1
dinamic_programming_2,15,15.0,0.0009982585906982422,0.0007413000000155989,1
greedy_approach,15,15.0,0.0009965896606445312,0.00022540000003345995,1
divide_and_conquer,15,15.0,0.0010209083557128906,0.0009548999999537955,1
dinamic_programming,15,15.0,0.0009984970092773438,0.0005453999999645021,1
dinamic_programming_2,15,15.0,0.0010004043579101562,0.000807599999973263,1
greedy_approach,15,15.0,0.0,0.0001603999999701955,1
divide_and_conquer,15,15.0,0.0,0.0008901999999579857,1
dinamic_programming,15,15.0,0.0009946823120117188,0.0005596999999966101,1
dinamic_programming_2,15,15.0,0.0009989738464355469,0.0007894999999962238,1
greedy_approach,15,15.0,0.0009596347808837891,0.0001737999999704698,1
divide_and_conquer,15,15.0,0.0010349750518798828,0.0009231000000227141,1
dinamic_programming,15,15.0,0.0,0.0004804999999805659,1
dinamic_programming_2,15,15.0,0.0010247230529785156,0.0007627999999613166,1
greedy_approach,15,15.0,0.0,0.00014519999996309707,1
divide_and_conquer,20,20.0,0.002026081085205078,0.0017586000000164859,1
dinamic_programming,20,20.0,0.0009989738464355469,0.0007964999999785505,1
dinamic_programming_2,20,20.0,0.0010333061218261719,0.001266199999975015,1
greedy_approach,20,20.0,0.0010018348693847656,0.00022339999998166604,1
divide_and_conquer,20,19.0,0.001953125,0.0017093000000159009,1
dinamic_programming,20,19.0,0.0,0.0007644000000368578,1
dinamic_programming_2,20,19.0,0.0010318756103515625,0.0012350000000083128,1
greedy_approach,20,19.0,0.0,0.0001801999999884174,1
divide_and_conquer,20,20.0,0.0010340213775634766,0.0015149999999835018,1
dinamic_programming,20,20.0,0.0,0.0007625000000075488,1
dinamic_programming_2,20,20.0,0.0010161399841308594,0.0015444000000002234,1
greedy_approach,20,20.0,0.0,0.0002097000000276239,1
divide_and_conquer,20,20.0,0.0019941329956054688,0.0016727999999943677,1
dinamic_programming,20,20.0,0.0009975433349609375,0.001009899999985464,1
dinamic_programming_2,20,20.0,0.0019943714141845703,0.0013271999999915352,1
greedy_approach,20,20.0,0.0,0.0001981999999998152,1
divide_and_conquer,20,20.0,0.001981973648071289,0.0016986999999630825,1
dinamic_programming,20,20.0,0.000997304916381836,0.0008511999999996078,1
dinamic_programming_2,20,20.0,0.001994609832763672,0.0012818000000152097,1
greedy_approach,20,20.0,0.0,0.00020640000002458692,1
divide_and_conquer,20,20.0,0.001994609832763672,0.002187700000035875,1
dinamic_programming,20,20.0,0.0009965896606445312,0.0007790999999883752,1
dinamic_programming_2,20,20.0,0.000997304916381836,0.0012151000000244494,1
greedy_approach,20,20.0,0.0,0.00018289999997023187,1
divide_and_conquer,20,19.0,0.000997304916381836,0.0015030999999794403,1
dinamic_programming,20,19.0,0.0009982585906982422,0.0007514000000128362,1
dinamic_programming_2,20,19.0,0.000997304916381836,0.0012027000000216503,1
greedy_approach,20,19.0,0.0,0.0001814999999965039,1
divide_and_conquer,20,20.0,0.000997304916381836,0.001603299999999308,1
dinamic_programming,20,20.0,0.0010273456573486328,0.0014747000000170374,1
dinamic_programming_2,20,20.0,0.0020329952239990234,0.0018911999999886575,1
greedy_approach,20,20.0,0.0,0.00018499999998766725,1
divide_and_conquer,20,20.0,0.002028942108154297,0.0015303999999787266,1
dinamic_programming,20,20.0,0.001001596450805664,0.000964000000010401,1
dinamic_programming_2,20,20.0,0.0010340213775634766,0.0012664000000199849,1
greedy_approach,20,20.0,0.0,0.00017680000001973895,1
divide_and_conquer,20,18.0,0.001989603042602539,0.0015617999999903986,1
dinamic_programming,20,18.0,0.0009968280792236328,0.0008083999999826119,1
dinamic_programming_2,20,18.0,0.0019943714141845703,0.0012797999999634158,1
greedy_approach,20,18.0,0.0,0.0001776999999947293,1
divide_and_conquer,25,25.0,0.0020318031311035156,0.002524099999959617,1
dinamic_programming,25,25.0,0.001039266586303711,0.0011291999999798463,1
dinamic_programming_2,25,25.0,0.001987934112548828,0.0018800000000283035,1
greedy_approach,25,25.0,0.0,0.0002549999999814645,1
divide_and_conquer,25,23.0,0.0019941329956054688,0.002440599999999904,1
dinamic_programming,25,23.0,0.0009975433349609375,0.0011583000000428,1
dinamic_programming_2,25,23.0,0.0019943714141845703,0.0020354999999767642,1
greedy_approach,25,23.0,0.0,0.00024769999998852654,1
divide_and_conquer,25,24.0,0.0019865036010742188,0.0026031000000443782,1
dinamic_programming,25,24.0,0.0009965896606445312,0.0012365000000045256,1
dinamic_programming_2,25,24.0,0.0019941329956054688,0.001926099999991493,1
greedy_approach,25,24.0,0.0,0.0002263000000084503,1
divide_and_conquer,25,24.0,0.0019948482513427734,0.002256199999976616,1
dinamic_programming,25,24.0,0.0019948482513427734,0.0012640999999575797,1
dinamic_programming_2,25,24.0,0.0019943714141845703,0.0018795999999952073,1
greedy_approach,25,25.0,0.0009980201721191406,0.00025590000001329827,1
divide_and_conquer,25,25.0,0.0029914379119873047,0.0028522000000066328,1
dinamic_programming,25,25.0,0.0009982585906982422,0.001184200000011515,1
dinamic_programming_2,25,25.0,0.001993894577026367,0.00202910000001566,1
greedy_approach,25,25.0,0.0,0.00022610000002032393,1
divide_and_conquer,25,25.0,0.0019941329956054688,0.002234299999997802,1
dinamic_programming,25,25.0,0.0019948482513427734,0.0012815999999702399,1
dinamic_programming_2,25,25.0,0.0019943714141845703,0.001892600000019229,1
greedy_approach,25,25.0,0.0009982585906982422,0.00024809999996477927,1
divide_and_conquer,25,25.0,0.0029914379119873047,0.0028340000000071086,1
dinamic_programming,25,25.0,0.0009968280792236328,0.0012413000000037755,1
dinamic_programming_2,25,25.0,0.0019941329956054688,0.0018802999999820713,1
greedy_approach,25,25.0,0.0,0.00022150000000920045,1
divide_and_conquer,25,25.0,0.0019867420196533203,0.0022577999999953136,1
dinamic_programming,25,25.0,0.000997781753540039,0.0011418999999932566,1
dinamic_programming_2,25,25.0,0.001993417739868164,0.001847099999963575,1
greedy_approach,25,25.0,0.0,0.0002531000000089989,1
divide_and_conquer,25,25.0,0.001993417739868164,0.002227800000014213,1
dinamic_programming,25,25.0,0.0009856224060058594,0.001395199999990382,1
dinamic_programming_2,25,25.0,0.001990079879760742,0.0020754000000238193,1
greedy_approach,25,25.0,0.0009982585906982422,0.0002312999999958265,1
divide_and_conquer,25,24.0,0.0029914379119873047,0.0022207999999750427,1
dinamic_programming,25,24.0,0.000997781753540039,0.0011359000000084052,1
dinamic_programming_2,25,24.0,0.001993894577026367,0.0018729999999891334,1
greedy_approach,25,24.0,0.0,0.00022660000001906155,1
divide_and_conquer,30,30.0,0.00299072265625,0.0033549999999991087,1
dinamic_programming,30,30.0,0.0019943714141845703,0.0017022999999767308,1
dinamic_programming_2,30,30.0,0.0020351409912109375,0.0027019000000336746,1
greedy_approach,30,30.0,0.0,0.00048529999997981577,1
divide_and_conquer,30,30.0,0.0030274391174316406,0.0031189000000040323,1
dinamic_programming,30,30.0,0.001958131790161133,0.001569299999971463,1
dinamic_programming_2,30,30.0,0.0029921531677246094,0.0026341999999885957,1
greedy_approach,30,30.0,0.000997781753540039,0.0005612000000496664,1
divide_and_conquer,30,29.0,0.0029909610748291016,0.0030396000000223466,1
dinamic_programming,30,29.0,0.0019948482513427734,0.0015295000000037362,1
dinamic_programming_2,30,29.0,0.002992391586303711,0.00277440000002116,1
greedy_approach,30,29.0,0.000997304916381836,0.00032749999996894985,1
divide_and_conquer,30,30.0,0.0029921531677246094,0.003068700000028457,1
dinamic_programming,30,30.0,0.000997304916381836,0.0015151999999716281,1
dinamic_programming_2,30,30.0,0.0029909610748291016,0.002675000000010641,1
greedy_approach,30,30.0,0.0,0.00027080000000978544,1
divide_and_conquer,30,30.0,0.002991914749145508,0.0030457999999953245,1
dinamic_programming,30,30.0,0.0009970664978027344,0.001603400000021793,1
dinamic_programming_2,30,30.0,0.0019943714141845703,0.0025896999999872605,1
greedy_approach,30,30.0,0.0,0.0002646000000368076,1
divide_and_conquer,30,29.0,0.0029921531677246094,0.003292399999963891,1
dinamic_programming,30,29.0,0.0009968280792236328,0.0017056000000366112,1
dinamic_programming_2,30,29.0,0.001993894577026367,0.002597499999978936,1
greedy_approach,30,30.0,0.0,0.00026170000001002336,1
divide_and_conquer,30,29.0,0.0029916763305664062,0.0030191000000172608,1
dinamic_programming,30,29.0,0.001994609832763672,0.0015099999999961256,1
dinamic_programming_2,30,29.0,0.0029916763305664062,0.0031086000000186687,1
greedy_approach,30,29.0,0.0,0.0002570000000332584,1
divide_and_conquer,30,29.0,0.002991199493408203,0.002988700000003064,1
dinamic_programming,30,29.0,0.0019948482513427734,0.0015243000000282336,1
dinamic_programming_2,30,29.0,0.0029921531677246094,0.0025756000000001222,1
greedy_approach,30,29.0,0.0,0.00026619999999866195,1
divide_and_conquer,30,29.0,0.002976655960083008,0.00301009999998314,1
dinamic_programming,30,29.0,0.001995086669921875,0.002258500000039021,1
dinamic_programming_2,30,29.0,0.0029916763305664062,0.0025442000000452936,1
greedy_approach,30,29.0,0.0009975433349609375,0.00025899999997136547,1
divide_and_conquer,30,29.0,0.0029845237731933594,0.0029973000000040884,1
dinamic_programming,30,29.0,0.0019948482513427734,0.001561299999991661,1
dinamic_programming_2,30,29.0,0.002991914749145508,0.002544300000010935,1
greedy_approach,30,29.0,0.000997304916381836,0.00026370000000497384,1
divide_and_conquer,35,33.0,0.0049860477447509766,0.004184300000019903,1
dinamic_programming,35,33.0,0.0019948482513427734,0.002046300000017709,1
dinamic_programming_2,35,33.0,0.0029916763305664062,0.0035139999999955762,1
greedy_approach,35,34.0,0.0,0.0003111999999987347,1
