algorithm,len,ed,time,clock_time,calls
divide_and_conquer,5,0,0.000997304916381836,0.00022580000000971268,1
dinamic_programming,5,0,0.0,3.040000001419685e-05,1
dinamic_programming_2,5,0,0.0,0.00015869999998585627,1
greedy_approach,5,0,0.0,7.319999997434934e-05,1
divide_and_conquer,5,0,0.0,0.00016420000002881352,1
dinamic_programming,5,0,0.0,4.8800000001847366e-05,1
dinamic_programming_2,5,0,0.0,0.00016700000003311288,1
greedy_approach,5,0,0.0,8.189999999785869e-05,1
divide_and_conquer,5,0,0.0,0.00022870000003649693,1
dinamic_programming,5,0,0.0,4.2599999972026126e-05,1
dinamic_programming_2,5,0,0.0010094642639160156,0.0001629999999863685,1
greedy_approach,5,0,0.0,8.090000000038344e-05,1
divide_and_conquer,5,0,0.0,0.00017649999995228427,1
dinamic_programming,5,0,0.0,2.6200000036169513e-05,1
dinamic_programming_2,5,0,0.0,0.00015650000000277942,1
greedy_approach,5,0,0.0,8.020000001351946e-05,1
divide_and_conquer,5,0,0.0,0.00016119999997954437,1
dinamic_programming,5,0,0.0,3.850000001648368e-05,1
dinamic_programming_2,5,0,0.0,0.00015680000001339067,1
greedy_approach,5,0,0.0,7.880000003979148e-05,1
divide_and_conquer,5,0,0.0,0.00019879999996419428,1
dinamic_programming,5,0,0.0,2.829999999676147e-05,1
dinamic_programming_2,5,0,0.0,0.00016709999999875436,1
greedy_approach,5,0,0.0009891986846923828,8.450000001403168e-05,1
divide_and_conquer,5,0,0.0,0.00018430000000080327,1
dinamic_programming,5,0,0.0,3.970000000208529e-05,1
dinamic_programming_2,5,0,0.0,0.0001640999999494852,1
greedy_approach,5,0,0.0,7.529999999178472e-05,1
divide_and_conquer,5,0,0.0,0.0001828000000045904,1
dinamic_programming,5,0,0.0,3.9899999990211654e-05,1
dinamic_programming_2,5,0,0.0,0.000160999999991418,1
greedy_approach,5,0,0.0,7.320000003119276e-05,1
divide_and_conquer,5,0,0.0009949207305908203,0.00016779999998561834,1
dinamic_programming,5,0,0.0,2.7700000032382377e-05,1
dinamic_programming_2,5,0,0.0009975433349609375,0.00023429999998825224,1
greedy_approach,5,0,0.0,8.420000000342043e-05,1
divide_and_conquer,5,0,0.0,0.00018109999996340775,1
dinamic_programming,5,0,0.0,2.8900000017983984e-05,1
dinamic_programming_2,5,0,0.0,0.0001674000000093656,1
greedy_approach,5,0,0.0,8.68999999852349e-05,1
divide_and_conquer,10,0,0.0,0.00044950000000199,1
dinamic_programming,10,0,0.0,3.3299999984137685e-05,1
dinamic_programming_2,10,0,0.0,0.0003834000000324522,1
greedy_approach,10,0,0.0,0.00010789999998905841,1
