algorithm,len,ed,time,clock_time,calls
divide_and_conquer,1,0.0,0.0,4e-06,1
dinamic_programming,1,0.0,0.0,4.320000000000002e-05,1
dinamic_programming_2,1,0.0,0.0,7.289999999999998e-05,1
greedy_approach,1,0.0,0.0,4.260000000000006e-05,1
branch_and_bound_len,1,0.0,0.0,1.0900000000000102e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.4499999999999973e-05,2
pure_recursion,1,0.0,0.0,1.3200000000000104e-05,1
divide_and_conquer,1,0.0,0.0,4.099999999999937e-06,1
dinamic_programming,1,0.0,0.0,3.960000000000031e-05,1
dinamic_programming_2,1,0.0,0.0,7.010000000000002e-05,1
greedy_approach,1,0.0,0.0,4.3500000000000136e-05,1
branch_and_bound_len,1,0.0,0.0,8.500000000000695e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.5099999999999662e-05,2
pure_recursion,1,0.0,0.0,8.900000000000054e-06,1
divide_and_conquer,1,0.0,0.0,5.800000000000249e-06,1
dinamic_programming,1,0.0,0.0,3.7699999999999886e-05,1
dinamic_programming_2,1,0.0,0.0,8.630000000000009e-05,1
greedy_approach,1,0.0,0.0,5.719999999999944e-05,1
branch_and_bound_len,1,0.0,0.0,1.319999999999967e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.66999999999997e-05,2
pure_recursion,1,0.0,0.0,9.299999999999413e-06,1
divide_and_conquer,1,0.0,0.0,4.099999999999937e-06,1
dinamic_programming,1,0.0,0.0,4.99999999999997e-05,1
dinamic_programming_2,1,0.0,0.0,8.99999999999998e-05,1
greedy_approach,1,0.0,0.0,7.159999999999979e-05,1
branch_and_bound_len,1,0.0,0.0,9.099999999999733e-06,2
branch_and_bound_cnt,1,0.0,0.0,2.1900000000000044e-05,2
pure_recursion,1,0.0,0.0,1.4400000000001217e-05,1
divide_and_conquer,1,0.0,0.0,5.5999999999997024e-06,1
dinamic_programming,1,0.0,0.0,3.760000000000048e-05,1
dinamic_programming_2,1,0.0,0.0,9.200000000000007e-05,1
greedy_approach,1,0.0,0.0,6.579999999999954e-05,1
branch_and_bound_len,1,0.0,0.0,1.3899999999998983e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.9800000000000373e-05,2
pure_recursion,1,0.0,0.0,1.1399999999999952e-05,1
divide_and_conquer,1,0.0,0.0,4.90000000000039e-06,1
dinamic_programming,1,0.0,0.0,3.38999999999999e-05,1
dinamic_programming_2,1,0.0,0.0,8.220000000000102e-05,1
greedy_approach,1,0.0,0.0009968280792236328,5.920000000000057e-05,1
branch_and_bound_len,1,0.0,0.0,1.319999999999967e-05,2
branch_and_bound_cnt,1,0.0,0.0,1.3300000000000811e-05,2
pure_recursion,1,0.0,0.0,9.900000000000186e-06,1
divide_and_conquer,1,0.0,0.0,7.500000000000562e-06,1
dinamic_programming,1,0.0,0.0,3.6600000000001215e-05,1
