algorithm,len,ed,time,clock_time,calls
divide_and_conquer,5,5.0,0.0,0.00018230000000585278,1
dinamic_programming,5,5.0,0.0,0.00015279999990980286,1
dinamic_programming_2,5,5.0,0.0,0.0001707000000124026,1
greedy_approach,5,5.0,0.0,8.379999997032428e-05,1
divide_and_conquer,5,5.0,0.0009970664978027344,0.00017040000000179134,1
dinamic_programming,5,5.0,0.0,0.00013879999994514947,1
dinamic_programming_2,5,5.0,0.000997304916381836,0.0001661000000012791,1
greedy_approach,5,5.0,0.0,8.040000000164582e-05,1
divide_and_conquer,5,5.0,0.0,0.00018360000001393928,1
dinamic_programming,5,5.0,0.0,0.00013709999996081024,1
dinamic_programming_2,5,5.0,0.0,0.0001682000000755579,1
greedy_approach,5,5.0,0.0,8.149999996476254e-05,1
divide_and_conquer,5,5.0,0.0,0.00019909999991796212,1
dinamic_programming,5,5.0,0.0,0.0001452000000199405,1
dinamic_programming_2,5,5.0,0.0,0.00015510000002905144,1
greedy_approach,5,5.0,0.0,7.459999994807731e-05,1
divide_and_conquer,5,5.0,0.0,0.00019220000001496373,1
dinamic_programming,5,5.0,0.0,0.00014069999997445848,1
dinamic_programming_2,5,5.0,0.0,0.00017109999998865533,1
greedy_approach,5,5.0,0.0,7.540000001426961e-05,1
divide_and_conquer,5,5.0,0.000997304916381836,0.00021559999993314705,1
dinamic_programming,5,5.0,0.0,0.00014160000000629225,1
dinamic_programming_2,5,5.0,0.000997304916381836,0.0001755999999204505,1
greedy_approach,5,5.0,0.0,8.32000000627886e-05,1
divide_and_conquer,5,5.0,0.0,0.0001825999999027772,1
dinamic_programming,5,5.0,0.0,0.00016010000001642766,1
dinamic_programming_2,5,5.0,0.0,0.00016840000000684086,1
greedy_approach,5,5.0,0.0,8.249999996223778e-05,1
divide_and_conquer,5,5.0,0.0,0.00017209999998613057,1
dinamic_programming,5,5.0,0.0,0.0001617000000351254,1
dinamic_programming_2,5,5.0,0.0,0.00015539999992597586,1
greedy_approach,5,5.0,0.0,6.740000003446767e-05,1
divide_and_conquer,5,5.0,0.0,0.00016900000002806337,1
dinamic_programming,5,5.0,0.0,0.00012379999998302083,1
