algorithm,len,ed,time,clock_time,calls
divide_and_conquer,1,0,0.0,4.700000005186666e-06,1
dinamic_programming,1,0,0.0,4.020000000082291e-05,1
dinamic_programming_2,1,0,0.0,7.08999999972093e-05,1
greedy_approach,1,0,0.0,4.069999999956053e-05,1
branch_and_bound_len,1,0,0.0,9.400000010373333e-06,2
branch_and_bound_cnt,1,0,0.0,1.2900000001536682e-05,2
pure_recursion,1,0,0.0,9.099999999762076e-06,1
divide_and_conquer,1,0,0.0,4.899999993313031e-06,1
dinamic_programming,1,0,0.0,2.509999998778767e-05,1
dinamic_programming_2,1,0,0.0,5.600000000072214e-05,1
greedy_approach,1,0,0.0,6.289999998898566e-05,1
branch_and_bound_len,1,0,0.0,1.1100000023134271e-05,2
branch_and_bound_cnt,1,0,0.000997304916381836,1.8699999998261774e-05,2
pure_recursion,1,0,0.0,8.500000006961272e-06,1
divide_and_conquer,1,0,0.0,4.5999999827017746e-06,1
dinamic_programming,1,0,0.0,3.620000001092194e-05,1
dinamic_programming_2,1,0,0.0,8.450000001403168e-05,1
greedy_approach,1,0,0.0,5.640000000539658e-05,1
branch_and_bound_len,1,0,0.0,1.0499999973490048e-05,2
branch_and_bound_cnt,1,0,0.0,1.5999999988025593e-05,2
pure_recursion,1,0,0.0,9.200000022246968e-06,1
divide_and_conquer,1,0,0.0,5.700000002661909e-06,1
dinamic_programming,1,0,0.0,3.490000000283544e-05,1
dinamic_programming_2,1,0,0.0,8.809999999925822e-05,1
greedy_approach,1,0,0.0,5.9399999997822306e-05,1
branch_and_bound_len,1,0,0.0,1.0900000006586197e-05,2
branch_and_bound_cnt,1,0,0.0,1.589999999396241e-05,2
pure_recursion,1,0,0.0,9.69999999256288e-06,1
divide_and_conquer,1,0,0.0,5.499999986113835e-06,1
dinamic_programming,1,0,0.0,3.4699999986287366e-05,1
dinamic_programming_2,1,0,0.0,7.979999998042331e-05,1
greedy_approach,1,0,0.0,5.400000000577165e-05,1
branch_and_bound_len,1,0,0.0,1.0699999990038123e-05,2
branch_and_bound_cnt,1,0,0.0,1.6200000004573667e-05,2
pure_recursion,1,0,0.0,9.69999999256288e-06,1
divide_and_conquer,1,0,0.0,4.700000005186666e-06,1
dinamic_programming,1,0,0.0,3.229999998666244e-05,1
dinamic_programming_2,1,0,0.0,7.80000000020209e-05,1
greedy_approach,1,0,0.0,5.300000000829641e-05,1
branch_and_bound_len,1,0,0.0,1.0699999990038123e-05,2
branch_and_bound_cnt,1,0,0.0,1.550000001770968e-05,2
pure_recursion,1,0,0.0,8.500000006961272e-06,1
divide_and_conquer,1,0,0.0,4.499999988638592e-06,1
dinamic_programming,1,0,0.0,3.310000002443303e-05,1
dinamic_programming_2,1,0,0.0,7.619999999519678e-05,1
greedy_approach,1,0,0.0,5.55999999960477e-05,1
branch_and_bound_len,1,0,0.0009970664978027344,1.4499999991812729e-05,2
branch_and_bound_cnt,1,0,0.0,1.7399999990175274e-05,2
pure_recursion,1,0,0.0,1.1200000017197453e-05,1
divide_and_conquer,1,0,0.0,5.499999986113835e-06,1
dinamic_programming,1,0,0.0,3.4499999998161e-05,1
dinamic_programming_2,1,0,0.0,8.040000000164582e-05,1
greedy_approach,1,0,0.0,5.23999999870739e-05,1
branch_and_bound_len,1,0,0.0,1.1200000017197453e-05,2
branch_and_bound_cnt,1,0,0.0,1.6399999992700032e-05,2
pure_recursion,1,0,0.0,1.0899999978164487e-05,1
divide_and_conquer,1,0,0.0,4.699999976764957e-06,1
dinamic_programming,1,0,0.0,3.2899999979463246e-05,1
dinamic_programming_2,1,0,0.0,8.059999998977219e-05,1
greedy_approach,1,0,0.0,5.509999999731008e-05,1
branch_and_bound_len,1,0,0.0,1.0799999984101305e-05,2
branch_and_bound_cnt,1,0,0.0,1.6399999992700032e-05,2
pure_recursion,1,0,0.0,1.1800000009998257e-05,1
divide_and_conquer,1,0,0.0,4.799999999249849e-06,1
dinamic_programming,1,0,0.0,3.630000000498512e-05,1
dinamic_programming_2,1,0,0.0,8.130000000505788e-05,1
greedy_approach,1,0,0.0,5.3700000023582106e-05,1
branch_and_bound_len,1,0,0.0,1.1199999988775744e-05,2
branch_and_bound_cnt,1,0,0.0,1.5999999988025593e-05,2
pure_recursion,1,0,0.0,9.299999987888441e-06,1
divide_and_conquer,2,0,0.0,8.560000000557011e-05,1
dinamic_programming,2,0,0.0,2.5900000025558256e-05,1
dinamic_programming_2,2,0,0.0,7.730000001515691e-05,1
greedy_approach,2,0,0.0,4.839999999717293e-05,1
branch_and_bound_len,2,0,0.0,1.0500000001911758e-05,3
branch_and_bound_cnt,2,0,0.0,1.6600000009248106e-05,3
pure_recursion,2,0,0.0,2.3700000014059697e-05,1
divide_and_conquer,2,0,0.0,7.270000000403343e-05,1
dinamic_programming,2,0,0.0,2.5500000020883817e-05,1
dinamic_programming_2,2,0,0.0,7.579999999052234e-05,1
greedy_approach,2,0,0.0,4.7500000022182576e-05,1
branch_and_bound_len,2,0,0.0,1.0900000006586197e-05,3
branch_and_bound_cnt,2,0,0.0,1.6599999980826396e-05,3
pure_recursion,2,0,0.0,2.3300000009385258e-05,1
divide_and_conquer,2,0,0.0,8.679999999117172e-05,1
dinamic_programming,2,0,0.0,2.4899999999661304e-05,1
dinamic_programming_2,2,0,0.0,7.590000001300723e-05,1
greedy_approach,2,0,0.0,4.780000000437212e-05,1
branch_and_bound_len,2,0,0.0,1.0800000012523014e-05,3
branch_and_bound_cnt,2,0,0.0,1.6600000009248106e-05,3
pure_recursion,2,0,0.0,2.3499999997511622e-05,1
divide_and_conquer,2,0,0.0,6.999999999379725e-05,1
dinamic_programming,2,0,0.0,4.40999999966607e-05,1
dinamic_programming_2,2,0,0.0009975433349609375,0.00011799999998629573,1
greedy_approach,2,0,0.0,6.510000000048421e-05,1
branch_and_bound_len,2,0,0.0,1.3999999993075107e-05,3
branch_and_bound_cnt,2,0,0.0,2.779999999802385e-05,3
pure_recursion,2,0,0.0,2.3500000025933332e-05,1
divide_and_conquer,2,0,0.0009982585906982422,7.769999999140964e-05,1
dinamic_programming,2,0,0.0,2.559999998652529e-05,1
dinamic_programming_2,2,0,0.0,7.659999999987122e-05,1
greedy_approach,2,0,0.0,4.7799999975950413e-05,1
branch_and_bound_len,2,0,0.0,1.0699999990038123e-05,3
branch_and_bound_cnt,2,0,0.0,1.6100000010510485e-05,3
pure_recursion,2,0,0.0,2.3300000009385258e-05,1
divide_and_conquer,2,0,0.0,6.690000000730834e-05,1
dinamic_programming,2,0,0.0,2.739999999334941e-05,1
